CountyFIPS,shel_crop,shel_crop_pc,shel_prop,shel_prop_pc,shel_injur,shel_injur_pc,shel_fatal,shel_fatal_pc,shel_dura,shel_yr_total
01069,0,0,294646.735,3.0784000000000002,0,0,0,0,1,20
01071,0,0,115102.99,2.17405,0,0,0,0,1,19
01073,0,0,1346321.88,2.02945,5,1e-5,0,0,1,19
01075,0,0,334216.67,22.668129999999998,0,0,0,0,2,14
01077,0,0,192488.64,2.117865,0.635,5e-6,0,0,1,20
01079,0,0,164774.82,4.87572,0,0,0,0,1,19
01081,0,0,143002.385,1.185825,0,0,0,0,1,16
01083,0,0,199690.3,2.49883,0,0,0,0,1,19
01085,0,0,106834.555,8.84853,0,0,0,0,1,12
01087,0,0,41114.955,1.8567749999999998,0,0,0,0,1,16
01089,0,0,756562.835,2.449775,1,0,0,0,2,20
01091,0,0,122550.69,5.80809,0,0,0,0,1,15
01093,0,0,205376.66,6.79268,0,0,0,0,1,17
01095,0,0,240600.54,2.73503,0,0,0,0,1,19
01097,0,0,1594834.5,3.84967,0,0,0,0,2,20
01099,0,0,75855.26999999999,3.42697,0,0,0,0,1,20
01101,0,0,373277.53500000003,1.674665,0.065,0,0,0,1.5,14
01103,0,0,152803.41999999998,1.29044,0,0,0,0,1,20
01105,0,0,124997.655,10.310095,0,0,0,0,1,14
01107,0,0,95842.92,4.58491,0,0,0,0,1,17
01109,0,0,37748.5,1.14532,0,0,0,0,1,17
01111,0,0,226419.83,10.08058,0,0,0,0,1,15
01113,0,0,130103.31,2.59416,0,0,0,0,1,14
01115,0,0,538990.86,8.44125,0,0,0,0,1,15
01117,0,0,720984.75,4.68421,0,0,0,0,2,13
01119,0,0,49780.53,3.87307,0,0,0,0,1,15
01121,0,0,224847.135,2.79762,0,0,0,0,2,16
01123,0,0,194250.88,4.77052,0,0,0,0,1,17
01125,0,0,546818.45,3.034595,3,2e-5,0,0,1.5,16
01127,0,0,829812.23,12.40524,1,1e-5,0,0,1,17
01129,0,0,615937.39,35.96925,0,0,0,0,1,19
01131,0,0,27935.5,2.1522,0,0,0,0,1,15
01133,0,0,301019.74,12.30712,0,0,0,0,1,15
02013,0,0,27067.56,9.60524,0,0,0,0,2,13
02016,0,0,44281.31,8.78005,0,0,0,0,2,12
02020,0,0,190649.04,0.64993,0,0,0,0,3,19
02050,0,0,432690.05000000005,26.84615,0,0,0.05,5e-6,3,10
02060,0,0,14560.915,2.204875,0,0,0,0,2.5,12
02065,0,0,510.1,0.04974,0,0,0,0,1,1
02068,0,0,119260.45,63.03406,0,0,0,0,3,11
02070,0,0,52818,10.73318,0,0,0,0,3,9
02090,0,0,75144.905,0.8968200000000001,0,0,0,0,2.5,14
02100,0,0,48141.285,19.867465,0,0,0,0,2,8
02105,0,0,7144.93,2.9603,0,0,0,0,1,5
02110,0,0,163563.45,5.28598,0,0,0,0,2.5,14
02120,0,0,3825.66,0.07917,0,0,0,0,1,1
02122,0,0,245077.28,4.29455,0,0,0,0,3,19
02130,0,0,11206.585,0.8413299999999999,0,0,0,0,2,10
02150,0,0,16505.62,1.25251,0,0,0,0,3,13
02158,0,0,42095.38,0,0,0,0,0,3,1
02164,0,0,45768.585,27.135844999999996,0,0,0,0,2.5,12
02170,0,0,110901.59,1.7356399999999998,0,0,0,0,3,20
02180,0,0,45520.369999999995,4.772025,0,0,0,0,3,14
02185,0,0,34293.43,5.072095,0,0,0,0,3,14
02188,0,0,27029.614999999998,3.55629,0,0,0,0,2.5,14
02195,0,0,100000,30.47851,0,0,0,0,1,5
02198,0,0,106888.105,2.0776250000000003,0,0,0,0,1,4
02201,0,0,53673.82,0,0,0,0,0,2,7
02220,0,0,60080.47,6.78875,0,0,0,0,2,13
02230,0,0,5153.545,4.671145,0,0,0,0,2.5,2
02232,0,0,72786.64,0,0,0,0,0,2,7
02240,0,0,90748.59,15.08338,0,0,0,0,3,14
02261,0,0,266687.255,26.32436,0,0,0,0,3,18
02270,0,0,86507.13,11.27633,0,0,0,0,3,12
02275,0,0,11088.92,4.65725,0,0,0,0,2,3
02280,0,0,38536.21,0,0,0,0,0,2,7
02282,0,0,19479.73,31.27153,0,0,0,0,2,12
02290,0,0,742242.72,116.24788,0,0,0,0,4,17
04001,0,0,6353.200000000001,0.09081,0,0,0,0,1,10
04003,0,0,274169.375,2.23074,0,0,0,0,1,20
04005,0,0,115439.68,0.9561649999999999,4.5,3.5000000000000004e-5,0.5,5e-6,1.5,18
04007,0,0,118919.44,2.23705,0,0,0,0,2,15
04009,0,0,36932.31,1.05982,0,0,0,0,1,20
04011,0,0,37696.565,4.22255,0,0,0,0,1,14
04012,0,0,218397.55,10.91606,0,0,0,0,1,17
04013,0,0,7039076.69,2.0942049999999997,1.5,0,1,0,2,20
04015,0,0,836065.01,6.19082,0,0,0,0,1,19
04017,0,0,12178.5,0.11126,0,0,0,0,1,12
04019,0,0,1234419.9100000001,1.26768,2,0,1,0,2.5,20
04021,0,0,751336.575,2.06208,0.5,0,0,0,2,20
04023,0,0,123452.23999999999,2.7869450000000002,0,0,0,0,1.5,18
04025,0,0,74863.31,0.347395,0,0,0,0,1,18
04027,0,0,213174.285,1.0854,0,0,0,0,1,16
05001,0,0,120271.41,6.299345000000001,0,0,0,0,1.5,12
05003,0,0,491584.22,21.912555,0,0,0,0,1,20
05005,0,0,242505.55,5.83633,0,0,0,0,2,15
05007,0,0,630811.7749999999,3.100355,1,1e-5,0,0,1,20
05009,0,0,342005.59,9.93278,0,0,0,0,2,15
05011,0,0,240734.21,20.66447,0,0,0,0,2,11
05013,0,0,606447.04,110.80706,0,0,0,0,2,9
05015,0,0,63501,2.3300650000000003,0,0,0,0,1,18
05017,0,0,483574.135,39.82102999999999,0,0,0,0,1.5,20
05019,0,0,1342801.875,58.66404,0,0,0,0,2,10
05021,0,0,508108.87,30.491284999999998,0,0,0,0,1.5,18
05023,0,0,478836.365,19.02871,0,0,0,0,2,14
05025,0,0,306211.53,37.07161,0,0,0,0,2,11
05027,0,0,174435.39,7.17605,0,0,0,0,1,15
05029,0,0,282671.53,13.34867,0,0,0,0,2,13
05031,0,0,289059.72,3.422735,0,0,0,0,2,20
05033,0,0,183591.13,3.070685,0,0,0,0,1,20
05035,0,0,257911.33,5.058415,0,0,0,0,1.5,18
05037,0,0,119209.215,6.21845,0,0,0,0,1,18
05039,0,0,290285.45999999996,36.81051,0,0,0,0,2,10
05041,0,0,490502.66000000003,38.589865,0,0,0,0,1.5,10
05043,0,0,138026,7.41199,0,0,0,0,1,13
05045,0,0,60240.605,0.492765,1,1e-5,0,0,1.5,16
05047,0,0,244578.01,14.13582,0,0,0,0,1,20
05049,0,0,342005.59,29.51887,0,0,0,0,2,15
05051,0,0,295128.375,3.06548,0,0,0,0,1.5,16
05053,0,0,142071.89,7.84841,0,0,0,0,2,11
05055,0,0,180538.12,4.873374999999999,0,0,0,0,1.5,16
05057,0,0,208775.19,9.162804999999999,0,0,0,0,1,14
05059,0,0,200181.48,6.03957,0,0,0,0,2,15
05061,0,0,321689.38,22.62232,0,0,0,0,1,17
05063,0,0,1367382.035,37.150835,0,0,0,0,2,12
05065,0,0,455169.7,33.75128,0,0,0,0,2,11
05067,0,0,782414.235,43.546335,0,0,0,0,6.5,12
