,EPAREGION,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
141,2,"New York,Tioga",New York,Tioga,Tioga County,0.266,0.836,0.343,0.321,0.45,1.596
142,2,"New York,Tompkins",New York,Tompkins,Tompkins County,0.111,0.823,0.457,0.343,0.459,7.105
143,2,"New York,Ulster",New York,Ulster,Ulster County,0.219,0.824,0.636,0.455,0.542,7.77
144,2,"New York,Warren",New York,Warren,Warren County,0.139,0.847,0.435,0.439,0.599,9.113
145,2,"New York,Washington",New York,Washington,Washington County,0.147,0.863,0.408,0.365,0.484,5.411
146,2,"New York,Wayne",New York,Wayne,Wayne County,0.132,0.847,0.403,0.365,0.466,5.586
147,2,"New York,Westchester",New York,Westchester,Westchester County,0.591,0.802,0.544,0.31,0.589,1.979
148,2,"New York,Wyoming",New York,Wyoming,Wyoming County,0.122,0.882,0.406,0.353,0.504,6.711
149,2,"New York,Yates",New York,Yates,Yates County,0.11,0.86,0.322,0.376,0.542,6.465
150,3,"Delaware,Kent",Delaware,Kent,Kent County,0.434,0.747,0.566,0.609,0.463,3.832
151,3,"Delaware,New Castle",Delaware,New Castle,New Castle County,0.609,0.745,0.546,0.437,0.52,2.127
152,3,"Delaware,Sussex",Delaware,Sussex,Sussex County,0.38,0.682,0.646,0.596,0.434,4.527
153,3,"District ofColumbia,District ofColumbia","District ofColumbia","District ofColumbia","District ofColumbia County",0.676,0.745,0.402,0.2,0.506,0.445
154,3,"Maryland,Allegany",Maryland,Allegany,Allegany County,0.277,0.716,0.421,0.429,0.441,2.728
155,3,"Maryland,Anne Arundel",Maryland,Anne Arundel,Anne Arundel County,0.675,0.76,0.539,0.446,0.553,2.044
156,3,"Maryland,Baltimore",Maryland,Baltimore,Baltimore County,0.594,0.706,0.393,0.156,0.381,-0.192
157,3,"Maryland,Baltimore",Maryland,Baltimore,Baltimore County,0.494,0.719,0.567,0.363,0.585,2.576
158,3,"Maryland,Calvert",Maryland,Calvert,Calvert County,0.317,0.786,0.44,0.472,0.541,3.734
159,3,"Maryland,Caroline",Maryland,Caroline,Caroline County,0.155,0.766,0.389,0.568,0.494,7.527
160,3,"Maryland,Carroll",Maryland,Carroll,Carroll County,0.296,0.776,0.501,0.429,0.62,4.672
161,3,"Maryland,Cecil",Maryland,Cecil,Cecil County,0.432,0.696,0.522,0.483,0.398,2.445
162,3,"Maryland,Charles",Maryland,Charles,Charles County,0.484,0.788,0.562,0.524,0.565,3.483
163,3,"Maryland,Dorchester",Maryland,Dorchester,Dorchester County,0.172,0.779,0.373,0.601,0.447,6.557
164,3,"Maryland,Frederick",Maryland,Frederick,Frederick County,0.529,0.778,0.632,0.373,0.603,2.954
165,3,"Maryland,Garrett",Maryland,Garrett,Garrett County,0.14,0.737,0.583,0.409,0.497,9.092
166,3,"Maryland,Harford",Maryland,Harford,Harford County,0.465,0.726,0.513,0.485,0.531,2.856
167,3,"Maryland,Howard",Maryland,Howard,Howard County,0.565,0.768,0.399,0.355,0.627,1.652
168,3,"Maryland,Kent",Maryland,Kent,Kent County,0.19,0.717,0.428,0.555,0.492,6.265
169,3,"Maryland,Montgomery",Maryland,Montgomery,Montgomery County,0.59,0.757,0.53,0.344,0.569,1.92
170,3,"Maryland,Prince George's",Maryland,Prince George's,Prince George's County,0.704,0.768,0.565,0.368,0.61,1.961
171,3,"Maryland,Queen Anne's",Maryland,Queen Anne's,Queen Anne's County,0.173,0.769,0.531,0.529,0.581,9.384
172,3,"Maryland,Somerset",Maryland,Somerset,Somerset County,0.124,0.715,0.407,0.609,0.39,8.549
173,3,"Maryland,St. Mary's",Maryland,St. Mary's,St. Mary's County,0.303,0.76,0.521,0.547,0.483,4.759
174,3,"Maryland,Talbot",Maryland,Talbot,Talbot County,0.197,0.746,0.422,0.555,0.57,6.858
175,3,"Maryland,Washington",Maryland,Washington,Washington County,0.47,0.709,0.549,0.419,0.497,2.505
176,3,"Maryland,Wicomico",Maryland,Wicomico,Wicomico County,0.281,0.672,0.498,0.505,0.506,4.384
177,3,"Maryland,Worcester",Maryland,Worcester,Worcester County,0.16,0.657,0.559,0.598,0.453,9.433
178,3,"Pennsylvania,Adams",Pennsylvania,Adams,Adams County,0.262,0.768,0.53,0.382,0.508,4.269
179,3,"Pennsylvania,Allegheny",Pennsylvania,Allegheny,Allegheny County,0.705,0.721,0.706,0.151,0.529,1.435
180,3,"Pennsylvania,Armstrong",Pennsylvania,Armstrong,Armstrong County,0.188,0.789,0.487,0.295,0.48,4.018
181,3,"Pennsylvania,Beaver",Pennsylvania,Beaver,Beaver County,0.36,0.757,0.43,0.29,0.497,1.646
182,3,"Pennsylvania,Bedford",Pennsylvania,Bedford,Bedford County,0.099,0.799,0.438,0.41,0.511,9.927
183,3,"Pennsylvania,Berks",Pennsylvania,Berks,Berks County,0.367,0.759,0.666,0.365,0.513,3.919
184,3,"Pennsylvania,Blair",Pennsylvania,Blair,Blair County,0.231,0.716,0.509,0.437,0.537,5.196
185,3,"Pennsylvania,Bradford",Pennsylvania,Bradford,Bradford County,0.129,0.831,0.512,0.349,0.473,7.642
186,3,"Pennsylvania,Bucks",Pennsylvania,Bucks,Bucks County,0.521,0.752,0.724,0.318,0.634,3.28
187,3,"Pennsylvania,Butler",Pennsylvania,Butler,Butler County,0.413,0.763,0.476,0.32,0.587,2.35
188,3,"Pennsylvania,Cambria",Pennsylvania,Cambria,Cambria County,0.165,0.785,0.58,0.388,0.587,8.685
189,3,"Pennsylvania,Cameron",Pennsylvania,Cameron,Cameron County,0.107,0.882,0.214,0.584,0.467,7.528
190,3,"Pennsylvania,Carbon",Pennsylvania,Carbon,Carbon County,0.164,0.77,0.401,0.416,0.515,5.32
191,3,"Pennsylvania,Centre",Pennsylvania,Centre,Centre County,0.201,0.74,0.612,0.43,0.497,6.987
192,3,"Pennsylvania,Chester",Pennsylvania,Chester,Chester County,0.48,0.753,0.601,0.409,0.544,2.973
193,3,"Pennsylvania,Clarion",Pennsylvania,Clarion,Clarion County,0.126,0.81,0.412,0.409,0.553,7.925
194,3,"Pennsylvania,Clearfield",Pennsylvania,Clearfield,Clearfield County,0.142,0.78,0.542,0.383,0.495,8.041
195,3,"Pennsylvania,Clinton",Pennsylvania,Clinton,Clinton County,0.132,0.856,0.478,0.518,0.491,10.353
196,3,"Pennsylvania,Columbia",Pennsylvania,Columbia,Columbia County,0.193,0.808,0.398,0.375,0.491,3.917
