FIPS,p_all,p_blm,p_dod,p_doe,p_nps,p_usfs,p_usfws
50027,0.04870384917517674,0,0,0,0.006284367635506678,0.04241948153967007,0
21009,0.004555808656036446,0,0,0,0.004555808656036446,0,0
21099,0.020872865275142316,0,0,0,0.020872865275142316,0,0
28081,0,0,0,0,0,0,0
54089,0.012332990750256937,0,0,0,0.012332990750256937,0,0
42103,0.04667124227865477,0,0,0,0.04667124227865477,0,0
12109,5.707762557077625e-4,0,0,0,5.707762557077625e-4,0,0
18147,9.31098696461825e-4,0,0,0,9.31098696461825e-4,0,0
18089,0.009855951478392721,0,0,0,0.009855951478392721,0,0
33009,0.32152347209920284,0,0,0,0.005093002657218778,0.31643046944198405,0
42091,0.007880220646178092,0,0,0,0.007880220646178092,0,0
17167,0,0,0,0,0,0,0
24043,0.02216538789428815,0,0,0,0.02216538789428815,0,0
24510,0,0,0,0,0,0,0
23007,0.0066518847006651885,0,0,0,0.0066518847006651885,0,0
05007,0.025996533795493933,0,0,0,0.007365684575389948,0.018197573656845753,4.332755632582322e-4
44007,0,0,0,0,0,0,0
19005,0.032144944476914086,0,0,0,0.004675628287551139,0,0.027469316189362946
13261,0,0,0,0,0,0,0
25005,6.361323155216285e-4,0,0,0,0,0,6.361323155216285e-4
09001,0.0029291154071470417,0,0,0,5.858230814294083e-4,0,0.0023432923257176333
51067,5.530973451327434e-4,0,0,0,5.530973451327434e-4,0,0
29077,0.0028473804100227792,0,0,0,0.0028473804100227792,0,0
36119,0,0,0,0,0,0,0
05001,0.1097293343087052,0,0,0,0.0010972933430870519,0,0.10863204096561814
48061,0.9857992073976223,0,0,0,0.002311756935270806,0,0.9834874504623514
22089,0,0,0,0,0,0,0
48261,0.0744357638888889,0,0,0,0.07378472222222222,0,6.510416666666666e-4
36061,0,0,0,0,0,0,0
47025,0.01872340425531915,0,0,0,0.01872340425531915,0,0
51191,0.06337047353760446,0,0,0,6.963788300835655e-4,0.06267409470752089,0
34035,0.0012360939431396785,0,0,0,0.0012360939431396785,0,0
51113,0.17139479905437352,0,0,0,0.17139479905437352,0,0
36115,0,0,0,0,0,0,0
51157,0.19225449515905949,0,0,0,0.19225449515905949,0,0
36085,0.029585798816568046,0,0,0,0.029585798816568046,0,0
