"","EPAREGION","State","County","Risk","Governance","Built Environment","Natural Environment","Society","CRSI"
"130",2,"New York","Richmond","0.508",0.789,0.314,0.431,0.579,1.62
"131",2,"New York","Rockland","0.556",0.811,0.345,0.34,0.618,1.402
"132",2,"New York","Saratoga","0.473",0.836,0.535,0.355,0.566,2.631
"133",2,"New York","Schenectady","0.39",0.82,0.218,0.274,0.528,0.282
"134",2,"New York","Schoharie","0.077",0.887,0.32,0.31,0.525,6.912
"135",2,"New York","Schuyler","0.099",0.872,0.312,0.394,0.545,7.514
"136",2,"New York","Seneca","0.134",0.879,0.328,0.427,0.492,5.743
"137",2,"New York","St. Lawrence","0.117",0.857,0.691,0.508,0.453,15.68
"138",2,"New York","Steuben","0.105",0.862,0.707,0.353,0.445,14.118
"139",2,"New York","Suffolk","0.383",0.787,0.738,0.512,0.683,6.145
"140",2,"New York","Sullivan","0.183",0.815,0.553,0.361,0.512,6.476
"141",2,"New York","Tioga","0.266",0.836,0.343,0.321,0.45,1.596
"142",2,"New York","Tompkins","0.111",0.823,0.457,0.343,0.459,7.105
"143",2,"New York","Ulster","0.219",0.824,0.636,0.455,0.542,7.77
"144",2,"New York","Warren","0.139",0.847,0.435,0.439,0.599,9.113
"145",2,"New York","Washington","0.147",0.863,0.408,0.365,0.484,5.411
"146",2,"New York","Wayne","0.132",0.847,0.403,0.365,0.466,5.586
"147",2,"New York","Westchester","0.591",0.802,0.544,0.31,0.589,1.979
"148",2,"New York","Wyoming","0.122",0.882,0.406,0.353,0.504,6.711
"149",2,"New York","Yates","0.11",0.86,0.322,0.376,0.542,6.465
"150",3,"Delaware","Kent","0.434",0.747,0.566,0.609,0.463,3.832
"151",3,"Delaware","New Castle","0.609",0.745,0.546,0.437,0.52,2.127
"152",3,"Delaware","Sussex","0.38",0.682,0.646,0.596,0.434,4.527
"153",3,"District ofColumbia","District ofColumbia","0.676",0.745,0.402,0.2,0.506,0.445
"154",3,"Maryland","Allegany","0.277",0.716,0.421,0.429,0.441,2.728
"155",3,"Maryland","Anne Arundel","0.675",0.76,0.539,0.446,0.553,2.044
"156",3,"Maryland","Baltimore","0.594",0.706,0.393,0.156,0.381,-0.192
"157",3,"Maryland","Baltimore","0.494",0.719,0.567,0.363,0.585,2.576
"158",3,"Maryland","Calvert","0.317",0.786,0.44,0.472,0.541,3.734
"159",3,"Maryland","Caroline","0.155",0.766,0.389,0.568,0.494,7.527
"160",3,"Maryland","Carroll","0.296",0.776,0.501,0.429,0.62,4.672
