tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_oil_avg_t1,avg_oil_avg_t2,avg_gas_avg_t1,avg_gas_avg_t2,avg_precip_t1,avg_precip_t2,avg_risk_t1,avg_risk_t2,avg_governance_t1,avg_governance_t2,avg_built_env_t1,avg_built_env_t2,avg_natural_env_t1,avg_natural_env_t2,avg_society_t1,avg_society_t2,avg_crsi_t1,avg_crsi_t2,avg_amenity_change_score,avg_oil_change_score,avg_gas_change_score,avg_precip_change_score,avg_risk_change_score,avg_governance_change_score,avg_built_env_change_score,avg_natural_env_change_score,avg_society_change_score,avg_crsi_change_score,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Caddo,Time 1 and 2,3.75,3.3333333333333335,951333.5,1531908.5,106910218.5,70239774.33333333,1315.578524,815.6585153,0.41500000000000004,0.304,0.532,0.6425,0.481,0.4201666666666667,0.4565,0.39566666666666667,0.48700000000000004,0.6205,2.47025,3.4455,-0.4166666666666665,580575,-36670444.16666667,-499.92000870000004,-0.11100000000000004,0.11049999999999993,-0.060833333333333295,-0.06083333333333335,0.1335,0.97525,32.65751012713761,-93.7806820946917,35.42332702309272,-98.44500720193628,32.6575644754687,-93.78044170073534,35.42411148158484,-98.44452772601393,24,4,6,528.9605470127811,528.9881624820057
Cahuilla,Time 1 and 2,6,6.333333333333333,3510521.272727273,0,2066481.9090909092,1.6666666666666667,361.23629324454544,218.61743769666668,0.328,0.33133333333333337,0.3332727272727273,0.41533333333333333,0.837,0.9116666666666667,0.39272727272727276,0.4816666666666667,0.45890909090909093,0.4623333333333334,5.335727272727273,6.912666666666667,0.33333333333333304,-3510521.272727273,-2066480.2424242424,-142.61885554787875,0.003333333333333355,0.08206060606060606,0.07466666666666677,0.08893939393939393,0.0034242424242424407,1.5769393939393943,35.10809124624373,-118.09146749218576,33.27324444569172,-116.03230082295606,35.12040992747833,-118.06221502026007,33.274501383159475,-116.03241617050304,33,11,3,278.6803693559723,277.7475366675432
Catawba,Time 1 and 2,3.3958333333333335,4,0,0,0,0,1208.2406590416667,1123.77724,0.25847916666666665,0.698,0.5341041666666667,0.589,0.4401041666666667,0.451,0.42372916666666666,0.29900000000000004,0.43452083333333336,0.457,2.7347916666666667,0.605,0.6041666666666665,0,0,-84.46341904166684,0.4395208333333333,0.054895833333333255,0.010895833333333327,-0.12472916666666661,0.02247916666666666,-2.1297916666666667,34.82977503905896,-79.15872403162425,34.97296727135416,-81.18086967137555,34.834604682585635,-79.1600096898294,34.97296727135416,-81.18086967137556,48,48,1,185.30019372104448,185.13235596358143
Cayuga,Time 1 and 2,2.732394366197183,3.25,33912.605633802814,39783.25,2956741.5352112674,767520.75,1002.0736822257143,1144.2397643333334,0.21425352112676058,0.28575,0.7534225352112676,0.7097500000000001,0.44397183098591553,0.537,0.3907887323943662,0.399,0.5199154929577465,0.44725000000000004,5.51456338028169,3.77475,0.517605633802817,5870.644366197186,-2189220.7852112674,142.1660821076191,0.07149647887323943,-0.04367253521126746,0.0930281690140845,0.008211267605633843,-0.07266549295774649,-1.7398133802816895,41.51434792555825,-81.45946309931152,39.56392131728573,-86.75578491935133,41.578841647296585,-81.4868862608391,39.84232956379447,-87.09983979469467,284,70,4,497.7730523018747,511.43148590617653
Cayuse,Time 1 and 2,4.3,4,0,0,0,0,536.1447025399999,648.6521979,0.1163,0.10400000000000001,0.44820000000000004,0.45000000000000007,0.4379,0.5825,0.5211,0.5429999999999999,0.5038,0.5265,7.9292,13.146,-0.2999999999999998,0,0,112.50749536000012,-0.012299999999999991,0.0018000000000000238,0.1446,0.02189999999999992,0.022699999999999942,5.216800000000001,45.63060823191474,-118.36325464796548,45.451542136365475,-118.37092591259952,45.63333823459358,-118.3639405014674,45.452120640481986,-118.37001453257419,20,10,2,19.942517807159838,20.178608030045222
Chehalis,Time 1 and 2,5.1,5.5,0,0,0,0,2087.5607989,2259.57541825,0.24050000000000002,0.21775,0.3867,0.378,0.4953,0.51925,0.4615,0.44025000000000003,0.4153,0.45675,3.8448,4.691249999999999,0.40000000000000036,0,0,172.01461934999998,-0.02275000000000002,-0.008699999999999986,0.02394999999999997,-0.02124999999999999,0.04144999999999999,0.846449999999999,46.58782428293436,-122.8562991419305,47.09402536235266,-123.47515150078497,46.58949408373798,-122.85419367932043,47.09466017704146,-123.4749622373057,40,10,4,73.45617877561541,73.46097850617159
Chemehuevi,Time 1 and 2,5.6,5.5,1264.4,1580.5,19.4,24.25,197.68183964,200.01951864999998,0.2586,0.24425000000000002,0.41840000000000005,0.41400000000000003,0.8394,0.8240000000000001,0.4338,0.4,0.4308,0.42400000000000004,6.419,6.335,-0.09999999999999964,316.0999999999999,4.850000000000001,2.337679009999988,-0.014349999999999974,-0.004400000000000015,-0.01539999999999997,-0.0338,-0.006799999999999973,-0.08399999999999963,34.85063317495826,-114.98415176938849,34.508761792139076,-114.97695171787471,34.854699818101224,-114.9866668785456,34.51379489097723,-114.98023140280533,20,5,4,38.06265544884902,37.95393484249906
Cherokee,Time 1 and 2,3.722513089005236,3.9375,89946.30890052357,53960.375,2617146.670157068,1504556.25,1304.6395404057591,1190.3924586875,0.27641884816753926,0.243625,0.41348167539267017,0.53525,0.33335078534031415,0.4301875,0.3850680628272251,0.4341875,0.44805759162303666,0.48081250000000003,0.38128795811518323,3.21075,0.2149869109947642,-35985.93390052357,-1112590.420157068,-114.2470817182591,-0.03279384816753925,0.12176832460732984,0.09683671465968585,0.049119437172774894,0.032754908376963376,2.829462041884817,35.60827143773457,-87.37392745064776,36.08260237127257,-93.7954649467886,35.699164299926565,-87.34103034869689,36.14887615637172,-93.78918005855478,3056,191,16,581.7438656081474,583.317879994037
Chetco,Time 1 and 2,5.368421052631579,6,0,0,44750,0,1713.745943168421,2180.552894,0.1862105263157895,0.138,0.33389473684210524,0.387,0.5428421052631579,0.47000000000000003,0.5048421052631579,0.47700000000000004,0.4768421052631579,0.42100000000000004,5.975157894736842,4.626999999999999,0.6315789473684212,0,-44750,466.8069508315789,-0.04821052631578948,0.053105263157894766,-0.07284210526315787,-0.027842105263157835,-0.05584210526315786,-1.3481578947368433,44.60782432536522,-122.91088471412925,44.643632533367416,-123.86989375466999,44.61103667626988,-122.91576161253434,44.643632533367416,-123.86989375466999,19,19,1,76.08371791406664,75.67779807346302
Cheyenne,Time 1 and 2,4.083333333333333,3.3636363636363638,709722.8125,815083.7272727273,19788179.052083332,52133394,483.887461575,681.9104030636363,0.20720833333333336,0.26572727272727276,0.5835416666666666,0.6279090909090909,0.3959479166666667,0.39490909090909093,0.34884375,0.3880909090909091,0.5793020833333333,0.6231818181818182,3.7490208333333332,3.5513636363636363,-0.7196969696969693,105360.9147727273,32345214.947916668,198.02294148863632,0.0585189393939394,0.044367424242424236,-0.0010388257575757454,0.03924715909090909,0.04387973484848484,-0.19765719696969697,39.756300741001844,-103.11264560589765,37.556560460995996,-100.4286343813245,39.78253479644643,-103.07134866170452,37.59108067065505,-100.24980352458307,1056,96,11,338.1990634848635,345.82646839262577
