FIPS,clay_mean,ec_mean,ph_mean,sand_mean,soc_mean,clay_sd,ec_sd,ph_sd,sand_sd,soc_sd
05137,13.147069326123553,11.421842320053052,54.07323496403612,37.920229046574505,26.77238177829924,2.4570301341064575,6.875390892560314,2.1367992951023314,5.31006188948151,4.883951959504646
05139,11.066363639742365,3.658719333390321,49.68185517889862,43.22522606229768,22.77214630030885,7.174760963795584,3.236594932473117,1.7423537319037414,10.612641048287173,4.47517077812341
05141,12.709561037537775,11.521774512942095,53.18255109293027,39.65800424259851,25.461808475431447,2.1265589162650778,6.861850136354996,1.9564201659120837,4.59952904008972,5.170821897211325
05143,12.381013259903952,3.596847289832981,55.05742816869089,30.69342823425284,23.498127386864663,2.513708446554723,1.8468264220406374,2.093666930080588,8.3162970326883,3.9011566833517617
05145,14.64077304291503,19.776865199511953,54.12937020802266,30.403260427493336,20.181259132058987,6.1869163813319785,5.4140536698732245,2.140095528656684,8.571798128561573,3.6866857952249577
05147,19.230797702532104,13.760861087794206,56.6947460954282,23.32805012657224,18.325531900830818,7.664163149272563,9.993389813413549,1.5448562926492464,15.575703726786399,7.134121802314335
05149,14.367520411123545,4.511691325790543,53.801189440092834,34.518948153674,27.019300426872228,3.8683239005791448,3.0583836864042038,2.4094816505828582,7.363059033736281,7.2143591087807115
06001,25.69323406925666,12.42106435346723,64.50419875634663,35.03016715157739,29.869849962918593,8.426038153663805,30.34550333448219,3.9688624635140104,9.9049347992824,16.85195065528656
06003,6.662531328976491,2.2123045045704988,56.12379851085984,71.7694135006305,57.21450734366906,2.833371969428629,3.932464482191479,3.8056989913480463,7.807089344013229,26.747954807457205
06005,13.118666588886512,2.8225964311872493,58.55065108470907,51.088662894329175,40.39367128810417,4.247291265766674,3.5320328136561168,2.0236167796804527,12.456769471006572,27.108894664942067
06007,22.16278570586154,5.022431890553131,60.234607854699846,38.48070055431065,39.56826984314188,9.77565956004737,4.32830638115638,3.8413477842911923,12.10056887054028,28.077272105155433
