tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Picuris Pueblo,Time 1 and 2,5,5,36.581376696589935,-105.63097692774441,36.581376696589935,-105.63097692774441,36.581376696589935,-105.63097692774441,36.581376696589935,-105.63097692774441,1,1,1,0,0
Pima,Time 1 and 2,5.4,5.5,32.530402096750684,-112.07594463301429,33.12879578245198,-111.91796290180916,32.5348801466973,-112.07178391229958,33.130107116942725,-111.91651054970194,10,5,2,68.23232689903895,67.83342374244548
Pit River,Time 1 and 2,5.833333333333333,6.25,40.69863777934116,-121.92108015108774,40.618041344171075,-121.68726117021278,40.70286453848411,-121.92730195425668,40.62364071618908,-121.6982252030637,24,6,4,21.688269838093976,21.259182794774283
Pojoaque Pueblo,Time 1 and 2,5,5,35.50846116871701,-105.97744194618194,35.50846116871701,-105.97744194618194,35.50846116871702,-105.97744194618194,35.50846116871702,-105.97744194618194,1,1,1,0,0
Pomo,Time 1 and 2,6.34375,6.6,37.86887735460651,-121.15444654032905,38.44138736584689,-122.14525909807983,37.878548655982776,-121.1366921172542,38.44840795100503,-122.13230040225167,160,32,5,107.62758418996356,107.78416900842723
Ponca,Time 1 and 2,2.6666666666666665,3,41.793190444610254,-98.92452420771122,38.61532642621966,-97.42172731882992,41.79731002768177,-98.9043727152407,38.61496987996236,-97.40833081877231,36,12,3,376.10629721168857,376.37946214984265
Potawatomi,Time 1 and 2,2.6218181818181816,2.923076923076923,40.86714353668836,-86.86983861014258,41.4827125130774,-89.98312340293938,40.949751784490964,-86.85957775661088,41.58516226227089,-90.20395045607486,3575,275,13,269.69638114530886,288.6105367014085
Puyallup,Time 1 and 2,5.666666666666667,5.5,47.25962478150091,-123.07530057331445,47.26594799210715,-121.98788369736602,47.261272743967,-123.07420422641484,47.26605022753966,-121.98853923876716,12,6,2,82.15181172305843,82.01682062299624
Quapaw,Time 1 and 2,3.5853658536585367,3,34.34210388007287,-94.87739176032349,36.835506103148504,-94.81012266163275,34.36891662463114,-94.8623870310521,36.83550610314852,-94.81012266163275,82,82,1,277.63103316845525,274.6202150817989
Quechan,Time 1 and 2,5.5,5.5,33.32123503601358,-114.81181188887719,32.905517094073645,-114.6367582203167,33.32445114694815,-114.81037375219275,32.9076390401524,-114.6356483288541,8,4,2,49.07152211384269,49.17609382769936
