tribe,min_dist,max_dist,avg_dist
Duwamish,0,246.0804081599954,106.10906948327212
E-eh,NA,NA,NA
Eel River,NA,NA,NA
Es-ki-un,NA,NA,NA
Flathead,0,362.6628756116019,61.007280647057264
Florida tribes,NA,NA,NA
Galice,38.635683503269476,225.4255266975142,97.8159170409003
Goshute,0,271.55729744478265,24.06974374147952
Grave Creek,NA,NA,NA
Gros Ventre,0,606.926229177758,183.55426501738208
Ha-bi-na-po,NA,NA,NA
Hammonassets,NA,NA,NA
Havasupai,0,179.77387953862362,89.85135274727034
Hidatsa,0,538.7966056189247,134.70781784862749
Ho-lo-cla-me,NA,NA,NA
Ho-lo-lu-pi,NA,NA,NA
Hoh,NA,NA,NA
Hol-cu-ma,NA,NA,NA
Hol-mi-uk,NA,NA,NA
Hopi,0,665.0339799293221,293.25501548088914
Hosquiam,NA,NA,NA
How-ech-ee,NA,NA,NA
How-ku-ma,NA,NA,NA
Hualapai,0,179.77387953862362,0
Humptulips,0,189.25215899853345,62.183277670501916
Hupa,0,149.50064742169775,68.11642231660211
I-da-kar-I-waka-ha,NA,NA,NA
I-ka-ruck,NA,NA,NA
I-o-no-hum-ne,NA,NA,NA
I-tach-ee,NA,NA,NA
In-tim-peach,NA,NA,NA
Iowa,0,1035.8675878844385,541.8073102654905
Isleta Pueblo,0,39.41158691432427,19.70368332050212
Jemez Pueblo,NA,NA,NA
Jicarilla Apache,0,820.7447567596994,253.69642285211054
Kalapuya,0,316.09620672854226,58.33670923403177
Kalispel,0,503.66160747818947,60.117634738953036
Kaskaskia,0,1325.5924135440573,832.8864661827963
Kaw,0,443.7233942361806,292.04743302298897
Kickapoo,0,2345.0044138702006,1105.8338878058432
Kikiallus,0,0,0
King's river,NA,NA,NA
Kiowa,0,912.8765165779081,228.62269950675767
Klamath,0,292.48837218491815,62.62604267227713
Klickitat,38.635683503269476,225.4255266975142,97.8159170409003
Ko-se-tah,NA,NA,NA
Ko-ya-te,NA,NA,NA
Kootenai,0,486.1763147401217,98.8043661707496
Laguna Pueblo,0,134.26127876397894,0
Lenape,139.29483142914455,2264.143879935858,1328.4907473257344
Little Lake,0,124.81686399518878,62.5063818381537
Loc-lum-ne,NA,NA,NA
Luiseno,0,1132.6595718855403,92.64795404088314
Lumbee,NA,NA,NA
Lummi,0,92.79902239143323,46.35264528585205
Maidu,0,519.7970438530352,179.306075072763
Makah,0,0,0
Maliseet,NA,NA,NA
Mandan,0,538.7966056189247,134.70781784862749
Mannansett,NA,NA,NA
Maricopa,0,255.23345649499927,99.26846761665394
Mas-su-ta-ka-ya,NA,NA,NA
Massa-adchu-es-et,NA,NA,NA
Massacoes,NA,NA,NA
Massapequas,NA,NA,NA
Matinecock,NA,NA,NA
Mattaponi,NA,NA,NA
Mdewakanton Sioux,NA,NA,363.09130611071066
Me-dam-a-rec,NA,NA,NA
Me-Wuk,0,946.5276522449301,73.74060692485848
Meherrin,NA,NA,NA
Menominee,0,611.6024771453001,53.71619332532386
Merrick,NA,NA,NA
Mescalero Apache,0,668.963129893155,115.00411026451256
Methow,NA,NA,NA
Mi-chop-da,NA,NA,NA
Miami,0,1325.5924135440573,824.905954304424
Miccosukee,0,874.9905852869038,403.4075821110134
Mission,0,587.6098644699254,248.63586577412505
Missouria,49.607675108568415,861.5215988049067,556.6006518108383
Mitchigamia,NA,NA,NA
Mo-al-kai,NA,NA,NA
Modoc,0,2551.9648862363288,1179.2668279095533
Mohave,0,300.17135663982424,21.14592552412518
Mohawk,196.58461421718076,1143.4835648499457,518.52379079706
Mohican,47.83477606371812,748.5401474999557,575.2186050374403
Moki,NA,NA,NA
Molalla,0,225.4255266975142,63.976206084053345
Mon-e-da,NA,NA,NA
Monacan,NA,NA,NA
Monache,NA,NA,NA
Moneton,NA,NA,NA
Mono,0,421.5548164452314,86.46745499491024
Montauk,NA,NA,NA
Muckleshoot,0,116.5669284286072,32.82076125999753
Munsee,NA,NA,NA
Nambe,NA,NA,NA
Nambe Pueblo,0,0,0
Narragansett,0,99.92437138065114,33.500163226869404
Navajo,0,993.9023935516034,171.4923219272101
Nem-shaw,NA,NA,NA
Nentego,NA,NA,NA
New-chow-we,NA,NA,NA
Nez Perce,0,1895.0339868040376,56.61246121215837
Nipmuc,163.37941991720226,176.89496635204813,163.5878108590253
Nir-muck,NA,NA,NA
Nisqually,0,149.22924326495314,53.161728494957885
Nissaquogue,NA,NA,NA
No-to-no-to,NA,NA,NA
Noe-ma-noe-ma,NA,NA,NA
Noi-me-noi-me,NA,NA,NA
Nome Lackee,NA,NA,NA
Nomelaki,NA,NA,NA
Nook-choo,NA,NA,NA
Nooksack,0,0,0
O-de-I-lah,NA,NA,NA
Okanagan,NA,NA,NA
Omaha,0,492.3368073305539,111.42915253605048
On-o-po-ma,NA,NA,NA
Oneida,0,1079.425546201355,434.5059857045808
Onondaga,0,1026.16958579343,298.9512923498405
Osage,0,859.7129084891902,199.43861657592942
Otoe,49.607675108568415,946.1379152434496,639.0737460909409
Ottawa,0,1354.1702555513746,181.17078493791118
Paiute,0,1505.5941083533257,95.76359605218279
Pal-wis-ha,NA,NA,NA
Palus,NA,NA,NA
Pamunkey,78.46470685181534,150.62427406098712,108.31033177914993
Pas-ke-sa,NA,NA,NA
Passamaquoddy,NA,NA,NA
Paugussett,0,110.00772850741467,35.048562318454714
Pawnee,0,854.5154193134998,533.6270871272834
Pecos Pueblo,0,187.30261175498967,76.71639297695937
Penobscot,0,139.96504756884403,15.542461677066827
Peoria,0,1325.5924135440573,825.6116193653419
Pequot Mohegan,0,0,0
Piankeshaw,NA,NA,NA
Picuris Pueblo,0,0,0
Pillager,NA,NA,NA
Pima,0,255.23345649499927,68.23232689903895
Piscataway,NA,NA,NA
Pit-cat-chee,NA,NA,NA
Pit River,0,328.9432962466887,21.688269838093976
Po-ho-nee-chee,NA,NA,NA
Po-ken-well,NA,NA,NA
Po-to-yan-ti,NA,NA,NA
Pocumtuc,NA,NA,NA
Pojoaque Pueblo,0,0,0
Pomo,0,617.1578752315106,107.62758418996356
Ponca,0,864.7438822902654,376.10629721168857
Poquonok,NA,NA,NA
Potawatomi,0,1612.549401858543,269.69638114530886
Powhatan Confederacy,NA,NA,NA
Pueblo of Santa Clara,NA,NA,NA
Pueblo of Santo Domingo,NA,NA,NA
Puyallup,0,177.60957399363588,82.15181172305843
Quapaw,0,565.5920615185561,285.91304117612975
Quechan,0,222.38119285342745,49.07152211384269
Quileute,0,101.47065783786938,0
Quinault,0,149.22924326495314,49.752386240406985
Quinnipiac,NA,NA,NA
Roanoke,NA,NA,NA
Rockaway,NA,NA,NA
Rogue River,0,409.9524866762107,87.29798612220296
S'Homamish,NA,NA,NA
S'Klallam,0,106.06530538748592,30.310234033484132
Sa-heh-wamish,NA,NA,NA
Sac,NA,NA,NA
Sac and Fox,NA,NA,NA
Sage-womnee,NA,NA,NA
Sai-nell,NA,NA,NA
Salish,0,362.6628756116019,61.007280647057264
Samish,0,111.29383929274918,55.588309511340995
San Felipe Pueblo,0,0,0
San Ildefonso Pueblo,0,83.21624601947481,42.11115828223357
San Imirio,NA,NA,NA
San Juan Pueblo,0,0,0
San Luis Rey,NA,NA,NA
Sandia Pueblo,NA,NA,NA
Santa Ana Pueblo,0,0,0
Santa Clara Pueblo,0,129.01355976304544,69.65982404424247
Santee Sioux,NA,NA,41.02815809349457
Santo Domingo,NA,NA,NA
Santo Domingo Pueblo,NA,NA,NA
Satsop,0,189.25215899853345,62.183277670501916
