geoid,elevation_mean,tri_mean,elevation_sd,tri_sd,elevation_min,tri_min,elevation_q25,tri_q25,elevation_median,tri_median,elevation_q75,tri_q75,elevation_max,tri_max
31101,1025.99484749128,2.57706825715181,47.5169196108491,2.1083543854592,909,0,997,0.940496681928707,1025.09777178767,2.09754298088336,1059.41827567508,3.71663558297595,1171.50265186153,20.8382426032266
31103,691.817172130394,2.91467614090813,57.0286966242787,2.92941183649865,535.283460090742,0,644.032700444437,0.897953530211595,699.129186728214,1.81281190970985,742.452057279705,3.90436981811424,804.080036810821,23.5948519901455
31105,1502.1519297985,2.01505874527187,61.6744988847071,1.29339358870213,1347.65817244443,0,1451.06597220534,1.01538157081916,1499.75282244679,1.73137205282822,1550.86030460783,2.73582628342753,1650.97062198375,12.5077936142805
31107,487.147851117987,3.86935219227612,50.6215031142573,2.53417805229914,362.382676235613,0,455.010103370721,2.04939182985125,496.111360387885,3.40987176402992,526.429302748924,5.19539432401621,587.510279636194,21.9844004872815
31109,392.909442512098,2.63580969320368,27.4794474822437,1.16705828390096,330.19365349295,0,371.940631479003,1.90098750779157,393.698203467027,2.67718062010305,413.602371739021,3.38141647841033,463,8.7337320559497
31111,907.859967994397,2.81412528127115,44.3595351948037,2.40361530991856,785,0,877.832043498772,1.09091945333945,910.022329360354,2.06861826659866,940.516921714839,3.90521203900516,1035.96040932173,19.5477346752435
31113,907.997028812908,2.48303216644041,27.1305344624022,1.80738417750585,833.450400912385,0,885.869806023875,1.13635646053137,910.63523928673,2.04206829690563,927.28051288889,3.42108220559931,987.784717362421,18.4608837484875
31115,736.351746973983,2.0441455414654,25.6420473895228,1.21782551219798,663.357573524087,0,721.908858229346,1.1731294686783,735.484711790428,1.80925723262543,750.146367103933,2.64929988684024,827.56372188165,11.5381466316888
31117,1012.27196404347,3.14226336059678,36.0302177481267,2.0385452378978,920.974423945775,0,982.918597294759,1.64394000524385,1011,2.74058418486379,1041.57359999997,4.23063757670963,1131.35302872006,18.4677107655828
31119,517.837052052599,2.19668257433339,28.7295278462134,1.38431513359242,456,0,496.900782180068,1.06867201290293,518.324424147139,2.062063795474,537.94452953392,3.11688226010507,597.686198526999,10.8108816866453
31121,520.268739796041,0.425971846825066,23.9048673807048,0.566223977003416,462,0,503,0.0906206939137491,523.924484080204,0.308395897594693,539.945259227001,0.491909737365571,604.803145002747,8.68246125163275
31123,1218.46725148109,2.77370442032444,68.4677789826018,2.61962620958664,1061,0,1167.97618452632,1.0433656433061,1217.9149215046,2.01704040323591,1268.27442591265,3.72668441542839,1398.39568054523,36.9945501900666
31125,530.055882503984,2.66669059146774,33.7579461193198,2.09742718195288,469,0,499.887673638402,0.615271929329175,529.516555726693,2.53573412867486,557.293764842094,4.23904980183305,618.166615961002,18.7271428103436
31127,322.541687401653,3.21733184876912,29.7159978831946,1.90804744503424,262.100774739713,0,300.922766327094,2.21445276149653,323.377721481098,3.15736679538917,343.142129808989,4.07788005759173,398.986634612303,23.6785152565113
31129,522.615248083496,1.98783011413663,24.3420094782078,1.25812751951397,461.481331679754,0,505.075768706367,0.921572641099846,520.459572472562,1.86668711791475,540.938234514687,2.86436995807061,587.178641482684,9.53525978485789
31131,350.066894882921,3.22634039250161,29.9261877887856,1.4429026230091,274.09493841291,0,330.706485335541,2.43661063153487,351.381332064669,3.20164764007987,370.645301235677,3.99063652218951,441.168688163611,19.9917151747006
31133,389.066457958894,3.10399909666762,38.7414629410714,1.22573224752478,294.282397458974,7.105427357601e-15,358.587419871203,2.33242915200506,389.369463726515,3.01710455810014,423.231438210633,3.74823308265894,467.205228611703,17.3167021257236
31135,1034.32332427596,1.16137489584119,33.8159835395643,0.837626783115844,954.320388926252,0,1007.57466080086,0.566654422651261,1030.93669674221,0.949631244531119,1061,1.55195876292817,1110.71019733335,9.72016414385186
31137,708.635689869403,1.12874283124154,22.8677507311347,1.30750561241336,662.619829333332,0,689.812631182791,0.404267969303618,706.207090924885,0.690336637848233,724.370139913551,1.23804691056277,770.56496424339,11.2244255978014
31139,519.952274832343,1.94582115211325,19.261030462503,1.27194369765091,466,0,507.546989970161,0.918782664155792,521.363677477862,1.73705937085558,533.858476921599,2.7531111068906,578.832000657781,8.92933893896701
