FIPS,precip
39003,949.1146667
21019,1089.107212
51093,1208.703922
21037,1045.411423
12107,1313.869148
13133,1182.110536
35019,374.2664624
18181,994.1612338
19123,931.6841418
19035,784.8720453
21157,1292.16491
18085,987.5256972
39059,996.3249959
47049,1378.727392
47007,1440.648642
48247,546.5905244
55027,856.7810024
55011,868.8944363
48353,582.4017177
1053,1630.606395
55015,783.786036
27105,734.1716536
27153,688.3770247
29039,1141.054939
37093,1169.777148
17009,975.1248836
17187,952.7308739
17071,949.9442836
26139,917.2018921
29129,969.8411447
48147,1132.617369
51139,1066.564588
55105,893.0801585
5101,1277.868381
8087,369.1542187
13243,1291.011537
37195,1187.890567
19021,827.208334
21119,1159.062683
22093,1610.353611
18179,985.5002961
20165,605.9317867
34013,1253.210449
51036,1162.594845
45063,1153.613425
47145,1362.772294
45011,1161.609111
55047,833.4671227
49013,476.257515
45023,1126.809024
28009,1441.944561
21065,1183.590755
13129,1307.157776
31127,829.7436707
5009,1147.791896
12009,1287.324598
12015,1336.406411
20119,531.9921704
20125,1090.868176
26149,981.0754545
41027,1818.88793
54073,1138.828998
12067,1368.962341
17081,1104.528618
18137,1126.756193
20205,1066.399662
20171,492.4553636
21215,1155.870344
26135,746.4759085
29007,1064.890088
41003,1567.385839
48459,1176.987742
48413,566.1712119
47099,1484.23723
51181,1192.90413
48151,594.5868928
45003,1159.96154
48257,1033.449509
18051,1171.678036
27035,706.6224874
20083,564.4320132
39135,1028.65666
13057,1349.746987
13211,1211.442218
31001,688.2324989
29205,1032.207692
5109,1420.59287
48221,870.4300027
17087,1216.698051
29219,1070.134242
17011,923.1522516
31075,495.9569181
21187,1135.404465
40003,779.5475593
17005,1043.082027
16025,609.5094609
47169,1326.432773
17177,898.7386516
38057,425.2728998
36067,1056.304556
19193,753.0973506
38065,437.6822834
21075,1294.426243
19159,922.4611386
21083,1306.156502
16083,317.4651634
19175,899.5171241
47065,1402.741418
55087,793.7120544
24023,1194.366923
17159,1109.275663
26005,969.2570777
37129,1449.956683
20155,775.0918061
19041,782.3736098
37159,1096.862913
20199,463.0853248
48085,1038.494842
48075,634.1394109
48143,841.3676557
20031,999.4025716
19073,877.6420367
20207,1051.872728
19189,838.7511648
26057,839.8975028
20111,950.179071
19195,863.9794545
20133,1106.932126
48123,890.9099202
21143,1249.509
37037,1175.887107
21165,1229.058179
26085,875.7074706
5045,1260.83697
37027,1252.188059
5051,1382.741054
5053,1347.027833
36083,1103.759735
42121,1141.623171
48193,826.8659175
38067,525.570283
51520,1085.206665
31053,770.0952439
31027,707.8141531
29177,1034.741109
37085,1160.313057
37105,1178.222192
55055,895.6832282
21181,1142.166783
27043,817.6548403
37153,1171.228586
21219,1286.799636
