"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"00000","United States","","CA5","320","16","        Heavy construction contractors",7479000,8065000,8749000,9153000,10046000,11286000,13177000,14834000,15849000,18330000,21388000,22642000,24115000,24059000,23384000,24474000,25058000,25471000,26151000,26540000,28587000,29771000,28984000,30191000,30510000,32298000,33635000,35209000,37106000,40564000,43225000,46493000
"00000","United States","","CA5","330","17","        Special trade contractors",23023000,24191000,26700000,30410000,34054000,35638000,35514000,40311000,44139000,51654000,57703000,62400000,64326000,64865000,69063000,81947000,92194000,101605000,110491000,121272000,130239000,134480000,128255000,131117000,139477000,154960000,165405000,179687000,193861000,213728000,241962000,268690000
"00000","United States","","CA5","400","D","      Manufacturing",180976000,181582000,184955000,203608000,228838000,247580000,250728000,282672000,323622000,364883000,410363000,434678000,475204000,476076000,497087000,550085000,579280000,599744000,624329000,667443000,695035000,709238000,716705000,751698000,772065000,804797000,827301000,849036000,894069000,935614000,973765000,1032428000
"00000","United States","","CA5","410","...","        Durable goods manufacturing",114930000,113041000,113955000,127097000,145681000,157825000,157565000,178060000,204749000,232874000,263279000,280121000,306090000,300390000,310578000,349559000,369958000,380108000,392383000,420073000,434994000,437817000,437096000,455877000,468097000,490885000,506650000,523515000,554957000,584038000,611536000,654990000
"00000","United States","","CA5","413","24","          Lumber and wood products",4614000,4608000,5060000,5848000,6647000,6900000,7191000,8709000,10359000,12128000,13614000,13312000,13476000,12483000,14426000,16139000,16718000,18125000,19503000,21347000,21845000,21123000,20184000,21672000,23223000,24883000,25355000,26092000,27406000,28142000,29911000,30012000
"00000","United States","","CA5","417","25","          Furniture and fixtures",3371000,3333000,3497000,4037000,4548000,4694000,4131000,4791000,5382000,6058000,6008000,7059000,7625000,7537000,8401000,9637000,10226000,10896000,11855000,12647000,13165000,13176000,12752000,13803000,14689000,15525000,15903000,16466000,17781000,19357000,20478000,21874000
"00000","United States","","CA5","420","32","          Stone, clay, and glass products",5860000,6072000,6430000,7173000,8047000,8618000,8587000,9612000,10890000,12446000,13737000,14306000,15110000,14577000,15323000,16831000,17389000,18083000,18804000,19048000,19592000,19674000,18882000,19797000,20948000,21871000,22645000,23548000,24500000,25524000,26895000,28528000
"00000","United States","","CA5","423","33","          Primary metal industries",14327000,14222000,14179000,15894000,18553000,21049000,20035000,22154000,25441000,28548000,32223000,32561000,35488000,30895000,28603000,30227000,28761000,27826000,29069000,32161000,33466000,33158000,31809000,34821000,34847000,36991000,36163000,36715000,38389000,38477000,38659000,39662000
"00000","United States","","CA5","426","34","          Fabricated metal products",13338000,13440000,13797000,15431000,17748000,19357000,20805000,23428000,26319000,29627000,33120000,34898000,37557000,36147000,36579000,40777000,42932000,43683000,44495000,47628000,49583000,50590000,50256000,52356000,54059000,57533000,60032000,61946000,65663000,67202000,69763000,72908000
"00000","United States","","CA5","429","35","          Industrial machinery and equipment",20749000,21080000,20247000,22823000,26677000,30463000,31289000,34424000,39290000,45233000,52898000,58347000,64546000,62920000,60374000,68630000,72027000,70623000,74629000,80912000,84779000,86515000,86827000,88819000,92441000,98487000,101599000,106045000,113874000,120135000,125198000,136904000
"00000","United States","","CA5","432","36","          Electronic and other electric equipment",18158000,18292000,18040000,19613000,22695000,24543000,23359000,26252000,29806000,34322000,39223000,43470000,47980000,50578000,55515000,64274000,68738000,70267000,71379000,61770000,64137000,63998000,64776000,67238000,70575000,74720000,78704000,83043000,89713000,94198000,101986000,119738000
"00000","United States","","CA5","435","371","          Motor vehicles and equipment",10833000,9805000,11731000,13467000,15738000,15091000,14589000,18590000,22808000,25222000,27147000,24803000,26832000,25220000,29374000,35338000,39598000,41118000,38799000,43486000,42858000,41446000,42006000,46587000,49121000,53938000,55849000,55252000,56337000,59862000,63830000,66195000
"00000","United States","","CA5","438","372-379","          Other transportation equipment",12540000,11495000,10551000,11432000,12510000,13514000,15579000,16579000,18815000,21692000,25664000,29646000,32945000,34037000,34570000,38150000,42161000,46391000,49265000,49677000,52524000,54409000,54274000,53549000,50574000,48397000,49450000,50339000,54654000,58638000,59936000,60000000
"00000","United States","","CA5","441","38","          Instruments and related products",4543000,4652000,4658000,5161000,5850000,6534000,7566000,8539000,9992000,11261000,12893000,14924000,17123000,18572000,19445000,21031000,22419000,23686000,24581000,40247000,41487000,41874000,43184000,44281000,43840000,43812000,45776000,47591000,49335000,54653000,56822000,61885000
"00000","United States","","CA5","444","39","          Miscellaneous manufacturing industries",3352000,3332000,3433000,3780000,4116000,4447000,4434000,4982000,5647000,6337000,6752000,6795000,7408000,7424000,7968000,8525000,8989000,9410000,10004000,11150000,11558000,11854000,12146000,12954000,13780000,14728000,15174000,16478000,17305000,17850000,18058000,17284000
"00000","United States","","CA5","447","...","          Ordnance 8/",3245000,2710000,2332000,2438000,2552000,2615000,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"00000","United States","","CA5","450","...","        Nondurable goods manufacturing",66046000,68541000,71000000,76511000,83157000,89755000,93163000,104612000,118873000,132009000,147084000,154557000,169114000,175686000,186509000,200526000,209322000,219636000,231946000,247370000,260041000,271421000,279609000,295821000,303968000,313912000,320651000,325521000,339112000,351576000,362229000,377438000
"00000","United States","","CA5","453","20","          Food and kindred products",14472000,15387000,16044000,16787000,17836000,19517000,20955000,23027000,25321000,27537000,30311000,32704000,35293000,37108000,38096000,39647000,41204000,43210000,45317000,47174000,48995000,52108000,54619000,57118000,58873000,60338000,61475000,62965000,65294000,69024000,71477000,74426000
"00000","United States","","CA5","456","21","          Tobacco products",602000,669000,687000,731000,814000,893000,970000,1054000,1140000,1296000,1422000,1625000,1923000,2072000,2192000,2235000,2393000,2397000,2584000,2665000,2807000,2752000,2774000,2854000,2638000,2937000,2950000,2923000,2976000,2982000,2960000,3159000
"00000","United States","","CA5","459","22","          Textile mill products",6271000,6319000,6589000,7386000,8138000,8297000,7878000,9191000,9940000,10739000,11401000,11859000,12508000,11854000,13053000,13565000,13317000,14215000,15592000,16126000,16767000,16699000,16985000,18241000,18859000,19222000,19132000,18932000,19562000,19522000,18967000,18631000
"00000","United States","","CA5","462","23","          Apparel and other textile products",7766000,7730000,7997000,8579000,9369000,9551000,9502000,10971000,12301000,13755000,14738000,14364000,15386000,15205000,16263000,17654000,17511000,18224000,18733000,19573000,20210000,20226000,20480000,21439000,21804000,22059000,21572000,21048000,20959000,20466000,19734000,18974000
"00000","United States","","CA5","465","26","          Paper and allied products",6477000,6770000,7014000,7662000,8358000,9063000,9249000,10722000,12052000,13334000,14767000,16084000,17598000,18348000,19552000,21370000,22214000,23483000,24545000,25705000,27062000,28040000,28848000,30755000,31413000,32053000,32834000,33253000,34245000,35384000,36060000,37611000
"00000","United States","","CA5","468","27","          Printing and publishing",9831000,10291000,10618000,11431000,12408000,13285000,13950000,15210000,17956000,20813000,24505000,24548000,26956000,29070000,31738000,35348000,38723000,41489000,44917000,49162000,51848000,53908000,54692000,57378000,58789000,61028000,62610000,63948000,67685000,70822000,73791000,76506000
"00000","United States","","CA5","471","28","          Chemicals and allied products",11032000,11643000,11927000,12721000,13931000,15810000,17018000,18901000,22051000,24243000,27207000,29405000,32570000,34657000,36592000,39175000,41807000,43671000,45845000,50597000,53839000,57812000,60214000,64142000,65632000,67692000,70246000,73007000,76031000,77961000,83440000,89492000
"00000","United States","","CA5","474","29","          Petroleum and coal products",2482000,2585000,2718000,2857000,3020000,3523000,4140000,4549000,5171000,5789000,6464000,7243000,8148000,8716000,8987000,9195000,9473000,9387000,9154000,8733000,9256000,9486000,10050000,10511000,10651000,10985000,10861000,10351000,11157000,11183000,10762000,10781000
"00000","United States","","CA5","477","30","          Rubber and miscellaneous plastics products",5096000,5166000,5447000,6283000,7147000,7656000,7457000,8595000,10423000,11823000,13342000,13779000,15414000,15520000,16913000,19343000,19893000,20931000,22577000,24830000,26398000,27477000,28078000,30436000,32220000,34530000,36076000,36264000,38392000,41547000,42450000,45298000
"00000","United States","","CA5","480","31","          Leather and leather products",2017000,1981000,1959000,2074000,2136000,2160000,2044000,2392000,2518000,2680000,2927000,2946000,3318000,3136000,3123000,2994000,2787000,2629000,2682000,2805000,2859000,2913000,2869000,2947000,3089000,3068000,2895000,2830000,2811000,2685000,2588000,2560000
"00000","United States","","CA5","500","E","      Transportation and public utilities",45296000,49479000,53514000,59752000,66247000,72786000,77202000,86712000,96310000,108711000,122774000,133160000,146757000,155793000,162881000,175760000,186143000,196278000,205649000,217324000,227819000,240725000,247551000,264662000,277976000,292503000,303286000,318319000,330065000,357205000,391608000,424045000
"00000","United States","","CA5","510","40","        Railroad transportation",6826000,7258000,7554000,8020000,9075000,9878000,9800000,11056000,12141000,13193000,14912000,15654000,16036000,15197000,14959000,16098000,16207000,16538000,16977000,15435000,15172000,14858000,15047000,15725000,15322000,15176000,15071000,15291000,15443000,16568000,17127000,16753000
"00000","United States","","CA5","520","42","        Trucking and warehousing",11311000,11871000,13384000,15432000,17650000,19052000,19107000,22082000,24538000,28092000,31421000,31943000,34164000,34191000,36258000,41570000,43684000,47199000,50772000,50120000,52924000,54942000,55991000,59388000,63008000,68556000,72542000,78222000,86845000,95485000,100074000,107759000
"00000","United States","","CA5","530","44","        Water transportation",2285000,2389000,2280000,2386000,2629000,2865000,3033000,3355000,3678000,4408000,4836000,5367000,5894000,5732000,5791000,6229000,6393000,6389000,6891000,6658000,6909000,7447000,8092000,8238000,8163000,8420000,8087000,8232000,8547000,8800000,9113000,9966000
"00000","United States","","CA5","540","41, 45-47","        Other transportation",7422000,8122000,8560000,9260000,10033000,11422000,12400000,13684000,15974000,17907000,20207000,22207000,24433000,26050000,27742000,30109000,32726000,35852000,39161000,48115000,52697000,57756000,59778000,64445000,67874000,71139000,73883000,77692000,80946000,86722000,95520000,102332000
"00000","United States","","CA5","541","41","          Local and interurban passenger transit",2177000,2283000,2399000,2455000,2468000,2684000,2904000,3118000,3482000,3727000,4025000,4664000,4848000,5039000,5145000,5744000,5885000,6450000,6848000,7391000,7869000,8398000,8962000,9420000,10079000,10787000,11502000,12247000,13536000,14824000,16177000,16785000
"00000","United States","","CA5","542","45","          Transportation by air",4050000,4516000,4755000,5249000,5798000,6250000,7030000,7846000,8925000,10039000,11634000,13375000,14353000,15131000,16419000,17418000,19036000,20574000,22850000,30265000,33386000,36958000,38101000,40644000,42170000,44258000,45324000,47440000,48101000,51554000,57307000,61149000
"00000","United States","","CA5","543","46","          Pipelines, except natural gas",192000,204000,216000,227000,230000,254000,316000,352000,388000,478000,541000,642000,725000,778000,809000,784000,821000,815000,856000,903000,896000,978000,1056000,1160000,1129000,1115000,1046000,1022000,1044000,1058000,1214000,1260000
"00000","United States","","CA5","544","47","          Transportation services",1003000,1119000,1190000,1329000,1537000,2234000,2150000,2368000,3179000,3663000,4007000,3526000,4507000,5102000,5369000,6163000,6984000,8013000,8607000,9556000,10546000,11422000,11659000,13221000,14496000,14979000,16011000,16983000,18265000,19286000,20822000,23138000
"00000","United States","","CA5","560","48","        Communications",9822000,11364000,12455000,14286000,15607000,17292000,19037000,20844000,23263000,26480000,30452000,34479000,39535000,44649000,46066000,47059000,49741000,50239000,51304000,54513000,55536000,58548000,59172000,63048000,67522000,71793000,76407000,80527000,82098000,91463000,105501000,117147000
"00000","United States","","CA5","570","49","        Electric, gas, and sanitary services",7630000,8475000,9281000,10368000,11253000,12277000,13825000,15691000,16716000,18631000,20946000,23510000,26695000,29974000,32065000,34695000,37392000,40061000,40544000,42483000,44581000,47174000,49471000,53818000,56087000,57419000,57296000,58355000,56186000,58167000,64273000,70088000
"00000","United States","","CA5","610","F","      Wholesale trade",38057000,40892000,43544000,48058000,53552000,60659000,67158000,74387000,81273000,93413000,106497000,116570000,127884000,134018000,139267000,155565000,167501000,176762000,190355000,209668000,224248000,235000000,239621000,253638000,258182000,274941000,293312000,310613000,333752000,364670000,380928000,408929000
"00000","United States","","CA5","620","G","      Retail trade",69792000,74366000,80121000,87119000,96913000,104179000,110678000,123914000,135350000,152286000,166705000,173975000,187811000,196596000,214956000,237268000,255407000,275115000,290166000,313896000,329735000,341288000,349280000,363952000,383877000,410919000,434178000,456775000,487335000,525991000,560168000,593067000
"00000","United States","","CA5","621","52","        Building materials and garden equipment",4566000,4701000,5216000,5863000,6566000,7132000,6233000,6903000,7924000,9046000,10028000,10048000,10561000,10730000,10935000,13403000,14466000,15141000,16249000,17703000,18762000,17938000,18291000,19308000,20574000,22595000,24198000,25601000,27824000,30415000,32823000,34651000
"00000","United States","","CA5","622","53","        General merchandise stores",12181000,13086000,13946000,15198000,16596000,17976000,15287000,16529000,17848000,19570000,21204000,22547000,24267000,24917000,26060000,28229000,30117000,32031000,33356000,34791000,37201000,39331000,39320000,41247000,43325000,45312000,47642000,48889000,51241000,55089000,58062000,62583000
"00000","United States","","CA5","623","54","        Food stores",10719000,11741000,12665000,13800000,15016000,16874000,19142000,21232000,22814000,25777000,28269000,31096000,34204000,36448000,38257000,40845000,42109000,44405000,46152000,49480000,52673000,55400000,57775000,60067000,62092000,64814000,67788000,70730000,74933000,78949000,81892000,84525000
"00000","United States","","CA5","624","55","        Automotive dealers and service stations",13567000,14293000,15684000,17377000,19588000,20079000,20704000,23233000,25426000,28362000,30891000,29570000,30363000,31511000,35181000,40890000,45334000,47333000,50129000,54748000,54461000,54901000,55923000,57034000,62238000,68797000,72762000,77951000,81841000,87737000,94185000,98279000
"00000","United States","","CA5","625","56","        Apparel and accessory stores",4274000,4498000,4796000,5116000,5507000,5715000,6362000,6948000,7751000,8765000,9177000,9563000,10351000,10876000,12130000,13403000,14051000,14597000,15502000,16391000,17056000,17912000,19004000,19035000,19719000,20363000,20764000,21147000,22401000,24538000,25645000,27382000
"00000","United States","","CA5","626","57","        Home furniture and furnishings stores",3987000,4123000,4457000,4937000,5628000,5788000,6170000,7219000,7760000,8864000,9232000,9502000,9963000,10566000,12591000,13500000,15265000,17199000,18245000,19899000,21741000,22268000,21089000,20547000,21501000,23775000,25834000,27291000,29771000,33404000,37273000,40481000
"00000","United States","","CA5","627","58","        Eating and drinking places",11406000,12282000,13008000,13826000,16049000,17429000,19845000,22675000,25479000,29393000,32803000,37141000,41815000,45688000,50808000,53911000,59788000,65437000,70578000,76009000,78860000,83044000,88306000,92881000,98259000,104538000,110218000,116360000,124067000,133566000,140589000,147769000
"00000","United States","","CA5","628","59","        Miscellaneous retail",9092000,9642000,10349000,11002000,11963000,13186000,16935000,19175000,20348000,22509000,25101000,24508000,26287000,25860000,28994000,33087000,34277000,38972000,39955000,44875000,48981000,50494000,49572000,53833000,56169000,60725000,64972000,68806000,75257000,82293000,89699000,97397000
"00000","United States","","CA5","700","H","      Finance, insurance, and real estate",34413000,36182000,40433000,44610000,47118000,49205000,54260000,62968000,70772000,82650000,92681000,103780000,113809000,118490000,137406000,148998000,160355000,179334000,204207000,228184000,232604000,248513000,262181000,306190000,332828000,340696000,371063000,411715000,462330000,524088000,574333000,625773000
"00000","United States","","CA5","710","60, 61","        Depository and nondepository institutions",10265000,11515000,12506000,13713000,15183000,17251000,19400000,21575000,23844000,26835000,30291000,34530000,38833000,43904000,48523000,53472000,58113000,65200000,70876000,75806000,79197000,82843000,84072000,91770000,97495000,100102000,103244000,111279000,122069000,138330000,146124000,150905000
