"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"13000","Georgia state total","5","CA5","420","32","          Stone, clay, and glass products",101639,107331,117149,138042,156613,167932,166449,189056,223226,263612,293141,327573,358393,353547,404755,450293,491140,546673,575591,579885,577992,566996,580777,605402,637422,668342,741392,778429,844690,891984,916438,968705
"13000","Georgia state total","5","CA5","423","33","          Primary metal industries",57000,66859,75288,103090,126209,147050,161103,190957,225536,268460,312354,341042,401367,404231,409160,478093,504215,525046,574933,597264,610793,615475,569772,641555,624283,671768,641197,677448,730696,733333,750155,767941
"13000","Georgia state total","5","CA5","426","34","          Fabricated metal products",127118,128216,138302,157849,180887,187095,178105,207196,249617,287787,321051,367011,387995,377538,410681,455781,478081,523060,547940,572438,605100,614775,592000,648484,696280,769547,811164,848448,908523,1032914,979370,981676
"13000","Georgia state total","5","CA5","429","35","          Industrial machinery and equipment",110035,114752,117454,140896,169333,192220,198029,214719,259230,273331,346784,387181,456094,431243,466601,567413,642929,685532,789456,804961,858748,893202,917490,990561,1060253,1232767,1306858,1399176,1503475,1587144,1754216,1857486
"13000","Georgia state total","5","CA5","432","36","          Electronic and other electric equipment",83789,95239,101737,117447,141811,164785,158512,187425,215918,271281,313474,361830,432041,488061,565513,644964,710363,827427,865582,935208,1039173,1066445,1094961,1199834,1232223,1353418,1431421,1479361,1560456,1583099,1826802,2171860
"13000","Georgia state total","5","CA5","435","371","          Motor vehicles and equipment",160443,151959,201821,235591,254255,213129,203376,329785,420466,412464,428671,427867,497328,453649,480959,654098,778092,825604,777446,870135,722247,587426,597887,603810,638067,704618,722589,784590,875637,942861,1042128,1147275
"13000","Georgia state total","5","CA5","438","372-379","          Other transportation equipment",438857,371101,298318,297302,273646,244095,238854,262389,257905,304913,368584,483875,552837,644602,707196,844886,953732,1044668,1179177,1165096,1043718,1104549,1130750,1287630,1250094,1314233,1422361,1508883,1623609,1922582,1960735,1851352
"13000","Georgia state total","5","CA5","441","38","          Instruments and related products",16474,18487,19263,24089,25378,30810,31376,37809,46656,49917,61867,75317,90425,113727,126289,127148,142155,155483,161772,233941,262670,293461,343856,374670,403121,456064,472884,466934,470240,520247,538208,568187
"13000","Georgia state total","5","CA5","444","39","          Miscellaneous manufacturing industries",35913,37557,39573,45392,51069,55268,54764,64700,70764,81220,87228,93951,84216,93198,102690,118468,127978,132377,140598,158236,165171,171678,179339,186935,202085,232567,241256,271796,286189,297581,308654,326432
"13000","Georgia state total","5","CA5","447","...","          Ordnance 8/",14763,8486,7822,7925,7263,6101,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"13000","Georgia state total","5","CA5","450","...","        Nondurable goods manufacturing",1916320,2004155,2125936,2373399,2623610,2787423,2816149,3354698,3820384,4296533,4876350,5053325,5538048,5680123,6195088,6782300,7132330,7753476,8297359,8702095,9087912,9390254,9709997,10528500,10929462,11438090,11893050,12174793,12674622,13390444,14002730,14312591
"13000","Georgia state total","5","CA5","453","20","          Food and kindred products",333003,370557,386227,418314,453565,488852,544141,617752,687905,760899,847045,961632,1073996,1142406,1186920,1250582,1332559,1476294,1575538,1651075,1683113,1763777,1898942,2071617,2222997,2235095,2341646,2514034,2613745,2979231,3138873,3403655
"13000","Georgia state total","5","CA5","456","21","          Tobacco products",3040,3286,3082,3103,3098,3276,3135,3226,2883,3169,23321,34933,45905,65622,80012,92059,112482,121189,158078,157344,169796,179664,181456,208779,184219,210054,229967,234613,259449,"(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","459","22","          Textile mill products",709032,708185,756972,864499,972136,1009770,977627,1196186,1320026,1436484,1575797,1597511,1676129,1576793,1784570,1887581,1905574,2065535,2283787,2378600,2568626,2590379,2640244,2851821,2991348,3152281,3249722,3302563,3392523,3504340,3551369,3598270
"13000","Georgia state total","5","CA5","462","23","          Apparel and other textile products",315169,331262,347899,377171,409890,419893,419116,514162,564677,636881,744157,712290,767277,791283,854451,940117,918068,966326,984586,1012874,994623,974431,965402,1046699,1011696,995033,918535,803544,720572,666075,646536,613691
"13000","Georgia state total","5","CA5","465","26","          Paper and allied products",228939,233057,249264,272354,303050,332185,344106,400217,457117,527219,598587,662155,720703,759413,817524,931745,992441,1076621,1121276,1166480,1224301,1300271,1364550,1490459,1519774,1550513,1621286,1631819,1707971,1772671,1817381,1753085
"13000","Georgia state total","5","CA5","468","27","          Printing and publishing",127447,133646,138970,156239,171085,185542,196179,219971,325357,411457,484800,428234,472332,527453,594203,724507,830226,948154,1031148,1131202,1177776,1236908,1265147,1316853,1364442,1510325,1633628,1662577,1835285,1904373,2083934,2051838
"13000","Georgia state total","5","CA5","471","28","          Chemicals and allied products",113500,124496,134328,150068,167207,193185,187271,226652,258080,287467,329848,370513,426042,456254,495127,544298,594485,635950,662603,705701,738744,794473,837548,903595,958983,1029021,1089436,1133457,1193581,1266160,1362036,1433059
"13000","Georgia state total","5","CA5","474","29","          Petroleum and coal products",7602,8908,9473,16577,15942,15078,18580,18798,22258,26390,31358,31005,31530,30425,29908,33479,34843,41143,45072,38984,39129,38891,36783,39866,41426,39266,40218,42714,46220,49994,60673,61394
"13000","Georgia state total","5","CA5","477","30","          Rubber and miscellaneous plastics products",57271,67486,77578,91334,104675,118323,111536,136633,161221,184952,220187,231884,296994,306086,330786,357899,390516,401728,412348,433563,464337,485162,490725,567472,605108,687040,737660,827762,890136,970196,1066984,1139908
"13000","Georgia state total","5","CA5","480","31","          Leather and leather products",21317,23272,22143,23740,22962,21319,14458,21101,20860,21615,21250,23168,27140,24388,21587,20033,21136,20536,22923,26272,27467,26298,29200,31339,29469,29462,30952,21710,15140,"(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","500","E","      Transportation and public utilities",933348,1042659,1150136,1338366,1537650,1707336,1813884,2055162,2349180,2717393,3134551,3516807,3954420,4361597,4824477,5241859,5681266,6154409,6663043,7078379,7324962,8098028,8361768,9404203,10047229,10764014,11306456,12148422,12509299,13985504,15706953,17352999
"13000","Georgia state total","5","CA5","510","40","        Railroad transportation",150927,158656,163060,177135,214368,232121,234906,255498,275709,306913,355601,396718,428973,439829,483463,525994,527445,547615,562744,515514,479030,477177,478087,523081,466393,470729,451972,465810,465788,"(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","520","42","        Trucking and warehousing",221319,238108,273337,331884,392063,419443,414974,489035,550805,646626,735060,770718,829113,860783,959987,1148141,1239439,1382634,1515692,1316723,1367689,1419948,1553693,1722719,1865496,2062945,2191066,2408889,2721119,3071067,3329840,3558096
"13000","Georgia state total","5","CA5","530","44","        Water transportation",13014,14155,14668,17205,19635,23531,21341,27062,33443,41088,45108,53399,52384,52646,59167,68144,73279,82050,80102,77359,79099,82903,91197,87780,86923,91153,99638,101399,110232,113799,110299,122372
"13000","Georgia state total","5","CA5","540","41, 45-47","        Other transportation",214170,249681,276375,323386,354465,404943,457153,506829,597886,697058,815314,941083,1058141,1180136,1298451,1391541,1548718,1649011,1825127,2241179,2330564,2608065,2546400,2985355,3126964,3252466,3316906,3516112,3686866,"(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","541","41","          Local and interurban passenger transit",27955,29016,30303,33729,20142,22351,22799,24618,29171,30706,32752,37249,39912,42295,40894,46407,48198,59058,61466,72137,77297,86363,87792,96021,112686,136661,148035,169997,182932,209892,225066,234213
"13000","Georgia state total","5","CA5","542","45","          Transportation by air",173308,205091,228103,270170,312397,349357,402149,445309,520757,608364,716238,835621,943942,1050487,1158554,1225119,1355619,1434567,1573790,1933835,1948612,2179333,2087030,2462435,2531850,2586617,2593622,2719011,2807355,3078033,3487028,3806419
"13000","Georgia state total","5","CA5","543","46","          Pipelines, except natural gas",6101,6283,6862,7256,7224,7920,9355,10252,10804,12063,12973,14648,16302,18341,19004,18679,19972,20852,21867,21986,24840,26726,28740,30520,32023,32674,32962,33374,33760,"(D)","(D)","(D)"
"13000","Georgia state total","5","CA5","544","47","          Transportation services",6806,9291,11107,12231,14702,25315,22850,26650,37154,45925,53351,53565,57985,69013,79999,101336,124929,134534,168004,213221,279815,315643,342838,396379,450405,496514,542287,593730,662819,711799,756013,849860
"13000","Georgia state total","5","CA5","560","48","        Communications",204000,235880,265943,310014,360099,401651,433188,480345,551533,638420,754120,876768,1024677,1176950,1256014,1254615,1391327,1494291,1666455,1847488,1954384,2340717,2471087,2750934,3132875,3499639,3863562,4257233,4138163,4768003,5543718,6451523
"13000","Georgia state total","5","CA5","570","49","        Electric, gas, and sanitary services",129918,146179,156753,178742,197020,225647,252322,296393,339804,387288,429348,478121,561132,651253,767395,853424,901058,998808,1012923,1080116,1114196,1169218,1221304,1334334,1368578,1387082,1383312,1398979,1387131,1480493,1665167,1755153
"13000","Georgia state total","5","CA5","610","F","      Wholesale trade",921541,1009182,1117412,1238819,1414487,1650469,1784052,1985112,2254456,2654113,3011281,3320370,3652181,3928469,4314879,5090947,5775129,6108773,6628739,7464647,7994322,8172589,8454377,9059329,9476000,9921574,10572896,11449507,12440980,14105774,15008690,16152110
"13000","Georgia state total","5","CA5","620","G","      Retail trade",1373899,1487547,1645460,1884751,2137840,2300550,2365500,2652741,2944367,3332268,3646169,3843025,4190692,4406689,4947573,5734909,6414311,7021716,7569007,8147524,8377736,8505929,8702051,9221076,10056467,11007025,11935720,12978475,13895855,15185611,16454644,17430097
"13000","Georgia state total","5","CA5","621","52","        Building materials and garden equipment",83841,85655,98679,116896,133882,147035,133908,137515,167199,193024,217941,222763,241794,253230,278542,356157,410753,422101,462343,491438,497408,476500,480320,536905,599747,695649,767708,869590,978073,1133817,1326029,1437404
