"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","210","10","        Metal mining","(L)","(L)",74,"(L)","(L)",78,111,-249,289,471,591,173,457,-70,-142,-943,-52,1586,"(D)",478,1774,-293,156,544,"(L)",102,189,139,160,"(D)","(D)",0
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","220","12","        Coal mining","(L)","(L)","(L)","(L)","(L)",82,63,331,2427,1883,2364,1044,664,808,784,1287,1498,-2031,"(D)",7582,3169,2879,9267,8161,6517,5621,4938,3393,2211,"(D)","(D)","(D)"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","230","13","        Oil and gas extraction",21175,20251,18713,36334,30882,43404,60162,66708,71197,73979,90402,122998,170944,166436,169361,188988,159608,75363,117798,50046,56042,62581,49047,55324,54736,56667,68978,85493,84787,93307,72193,76234
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","240","14","        Nonmetallic minerals, except fuels",2476,4148,4806,5528,6862,6661,6636,6993,7415,6877,7349,9155,8852,7059,8536,9767,12963,4398,591,9178,9539,8172,10328,9995,10803,13662,17925,18833,16962,12865,"(D)","(D)"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","300","C","      Construction",310104,331759,368151,439535,504940,519509,514198,687723,972872,1168895,1380877,1549148,1686553,1535492,1559631,1769174,2053829,2436997,2817015,3155228,3504080,3422758,2857411,2661986,2513735,2841355,3164034,3225525,3547765,4121455,5562932,6112031
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","310","15","        General building contractors",73878,65292,78781,94049,119750,119584,135789,182997,254228,314406,367942,391746,377731,321231,367092,491348,552465,651341,724239,862940,981523,951013,743503,662427,645336,712668,774123,779157,858124,990080,1304464,1531716
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","320","16","        Heavy construction contractors",36209,44110,42856,48422,52425,57557,54969,67500,186429,215852,258295,349149,465523,471811,347152,179911,185366,231262,260208,298388,307716,288209,212283,172185,165342,203520,300658,285364,328844,304064,377027,375551
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","330","17","        Special trade contractors",200017,222357,246514,297064,332765,342368,323440,437226,532215,638637,754640,808253,843299,742450,845387,1097915,1315998,1554394,1832568,1993900,2214841,2183536,1901625,1827374,1703057,1925167,2089253,2161004,2360797,2827311,3881441,4204764
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","400","D","      Manufacturing",1394332,1375709,1335006,1553861,1801247,2023664,2202264,2470277,2928540,3492024,4149930,4749775,5409146,5664451,6052662,6816237,7495720,7897701,8571077,9395440,9794244,9997086,9751173,9694682,9607901,9817017,9997142,10480926,11374256,12570790,12887890,13957388
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","410","...","        Durable goods manufacturing",1167708,1128103,1064611,1253822,1452655,1620774,1756304,1944306,2255805,2686091,3155496,3688880,4211505,4363637,4678545,5254973,5886695,6162085,6634401,7221799,7478804,7508420,7135023,6973094,6832992,6953319,7032457,7358506,8108010,9098534,9301655,10186445
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","413","24","          Lumber and wood products",10600,11988,14991,18258,24128,24679,33359,41113,61815,68376,72105,81435,65284,53751,61242,66314,70408,86158,113743,146916,153517,124644,102910,71088,68753,71290,62186,71764,84497,102121,109445,114155
