FIPS,amen_region_census,amen_rural_urban,amen_urban_inf,amen_low,amen_sun,amen_high,amen_humid,amen_topo,amen_per_water,amen_log_water,amen_scale,amen_rank
47041,6,6,6,40.1,126,78.9,63,15,7.42,6.609,1.23,4
47043,6,2,2,38.5,126,78.6,63,14,0.29,3.364,-0.83,3
47045,6,7,7,38.4,151,79.7,59,4,3.03,5.712,-0.39,3
47047,6,1,1,40.8,151,79.2,59,4,0.24,3.198,-1.18,3
47049,6,9,9,34.5,126,72.9,64,19,0.07,1.919,-0.05,3
47051,6,7,7,37.6,126,74.6,64,16,3.7,5.913,1.68,4
47053,6,4,6,38.1,151,79.1,59,4,0.15,2.724,-1.86,3
47055,6,6,6,39,126,77.4,63,14,0.04,1.409,-1.46,3
47057,6,8,6,37.9,126,75.6,65,14,7.31,6.594,1.45,4
47059,6,6,5,38.5,126,76.2,65,16,0.39,3.658,0.14,4
47061,6,6,6,37.6,126,74.6,64,16,0.16,2.776,0.02,3
47063,6,5,7,37.9,126,75.6,65,14,8.39,6.732,1.52,4
47065,6,2,2,40.2,126,78.8,65,16,5.78,6.359,1.16,4
47067,6,9,9,37.9,126,75.6,65,16,0.54,3.992,0.38,4
47069,6,6,6,39.8,151,79.2,59,4,0.43,3.753,-1.05,3
47071,6,6,6,40.8,126,80,63,14,3.09,5.735,0.44,4
47073,6,2,2,37.9,126,75.6,65,16,2.6,5.56,1.21,4
47075,6,6,5,40.3,151,80.2,59,4,0.18,2.878,-1.7,3
47077,6,6,6,38.7,151,79.1,59,14,1.12,4.718,0.82,4
47079,6,7,8,37.5,151,78.6,59,4,5.35,6.282,0.06,4
47081,6,6,6,39.6,126,77.7,63,14,0.01,0,-2.18,3
47083,6,8,6,37.7,126,77.7,63,14,3.24,5.782,0.56,4
47085,6,6,6,38.5,126,78.6,63,14,4.4,6.087,0.61,4
47087,6,9,9,39,126,78,63,15,3.34,5.811,0.86,4
47089,6,6,6,38.3,126,77.2,65,14,12.89,7.161,1.39,4
47091,6,8,6,36.4,126,75.2,65,16,1.41,4.947,0.74,4
47093,6,2,2,39.6,126,78.2,65,14,3.29,5.797,0.62,4
47095,6,9,9,36.6,151,80,59,1,15.68,7.357,-0.36,3
47097,6,6,4,38.9,151,80.1,59,4,7.23,6.584,0.05,3
47099,6,6,5,39,126,77.4,63,14,0.12,2.483,-0.89,3
47101,6,7,8,39.6,126,77.7,63,14,0.13,2.599,-0.8,3
47103,6,6,6,40.5,126,78.4,63,14,0.07,1.922,-1.2,3
47105,6,2,2,38.7,126,77.3,65,14,7.46,6.615,1.14,4
47107,6,7,7,38.7,126,77.3,65,14,0.45,3.804,-0.35,3
47109,6,7,8,40.8,151,80,59,4,0.14,2.645,-1.69,3
47111,6,6,6,37.3,126,77.3,63,14,0.02,0.669,-2.11,3
47113,6,3,2,38.7,151,79.1,59,4,0.28,3.329,-1.44,3
47115,6,2,2,40.2,126,78.8,64,16,2.72,5.605,0.83,4
47117,6,6,6,38,126,77.8,63,14,0.2,2.993,-0.89,3
47119,6,4,5,39.6,126,77.7,63,14,0.43,3.762,-0.19,3
47121,6,8,6,38.7,126,77.3,65,14,10.11,6.919,1.3,4
47123,6,6,6,38.7,126,77.3,65,20,2.7,5.599,1.51,4
47125,6,3,2,37.9,126,79.2,63,14,0.87,4.461,-0.51,3
47127,6,9,8,39.7,126,77.2,63,14,0.93,4.531,0.37,4
47129,6,8,6,34.5,126,72.9,64,16,0.07,1.873,-0.52,3
47131,6,7,7,35.9,151,78.4,59,4,1.88,5.235,-0.71,3
47133,6,7,8,34.5,126,72.9,64,15,0.34,3.521,0.2,4
47135,6,9,9,37.5,126,77,63,14,1.89,5.243,0.43,4
47137,6,9,9,37.3,126,77.3,64,19,6.68,6.504,1.67,4
47139,6,9,9,38.3,126,75.5,65,20,1.65,5.103,1.67,4
47141,6,5,7,34.5,126,72.9,64,15,0.37,3.598,0.24,4
47143,6,6,6,38.7,126,77.3,65,16,6.08,6.41,1.33,4
47145,6,4,5,38.7,126,77.3,65,14,8.61,6.758,1.22,4
47147,6,2,2,36.5,126,77.6,63,14,0.04,1.434,-1.92,3
47149,6,2,2,40.1,126,78.9,63,9,0.81,4.39,-0.85,3
47151,6,6,6,37.8,126,76,64,19,0.21,3.054,0.28,4
47153,6,6,6,37.6,126,74.6,64,16,0.07,1.912,-0.44,3
47155,6,2,2,38.3,126,74,65,20,0.91,4.511,1.76,4
47157,6,0,1,40.5,151,81.6,59,4,3.68,5.907,-0.44,3
47159,6,8,6,39,126,78,63,15,3.36,5.818,0.87,4
47161,6,8,6,37.7,126,77.7,63,14,7.2,6.579,0.98,4
47163,6,2,2,36.4,126,75.2,65,16,3.88,5.96,1.27,4
47165,6,2,2,36.5,126,77.6,63,14,2.54,5.538,0.25,4
47167,6,1,1,38.9,151,80.1,59,4,3.24,5.779,-0.38,3
47169,6,6,6,39,126,78,63,9,2.06,5.327,-0.3,3
47171,6,2,2,38.5,126,76.2,65,20,0.19,2.932,0.36,4
47173,6,2,2,40.6,126,78.2,65,14,9.54,6.86,1.35,4
47175,6,9,9,40,126,77.3,64,6,0.42,3.726,-1.32,3
47177,6,7,7,40,126,77.3,64,6,0.32,3.481,-1.45,3
47179,6,2,2,38.5,126,76.2,65,16,1.06,4.662,0.67,4
47181,6,8,6,37.5,126,77,63,14,0.22,3.098,-0.71,3
47183,6,7,8,38.2,151,79.4,59,4,0.27,3.295,-1.62,3
47185,6,7,8,34.5,126,72.9,64,6,0.74,4.301,-0.76,3
47187,6,2,2,39.1,126,78,63,14,0.16,2.779,-0.87,3
47189,6,2,2,38.3,126,79.6,63,9,2.17,5.378,-0.82,3
48001,7,6,3,46.8,163,83,50,9,0.66,4.19,1.07,4
48003,7,6,5,42.2,216,80.1,38,2,0.02,0.875,0.68,4
48005,7,5,7,48.8,163,83,50,4,7.27,6.59,1.92,4
48007,7,6,6,54.9,159,83.7,43,1,52.28,8.562,3.71,5
48009,7,3,2,41.4,162,85.6,43,4,1.74,5.158,-0.33,3
48011,7,8,6,36,216,78.7,38,5,0.02,0.678,0.36,4
48013,7,6,4,53,157,85.2,39,4,0.28,3.347,0.9,4
48015,7,6,4,53,159,84,43,4,0.58,4.053,1.38,4
48017,7,7,8,36.2,216,77.9,38,2,0.08,2.106,0.91,4
48019,7,8,4,48.5,205,81,34,19,0.73,4.292,5.83,6
48021,7,2,2,50,159,84.5,43,4,0.84,4.433,0.94,4
48023,7,7,8,40.4,200,84.5,37,4,3.36,5.816,1.7,4
48025,7,6,5,54,159,84.4,43,4,0.02,0.658,-0.36,3
48027,7,2,2,47.1,162,84.6,43,5,2.59,5.558,1.26,4
48029,7,0,1,50.7,159,84.7,43,15,0.78,4.359,2.63,5
48031,7,8,6,47.2,205,82.8,34,15,0.3,3.41,4.05,5
48033,7,9,9,41.2,200,82.4,37,9,0.8,4.382,2.39,5
48035,7,6,6,46.7,162,84.6,43,5,1.34,4.898,0.84,4
48037,7,3,2,43,163,82.3,50,4,3.78,5.935,0.79,4
48039,7,1,1,53.6,146,82.3,64,1,13.19,7.184,1.31,4
48041,7,3,2,50.2,163,84.4,50,4,0.77,4.338,0.59,4
48043,7,7,8,45.8,249,77.2,29,11,0,0,4.58,5
48045,7,9,9,38.3,216,78.9,38,5,0.15,2.691,1.76,4
48047,7,7,8,56.7,157,86.3,39,1,0.03,1.252,-0.34,3
48049,7,7,7,44.6,162,84.6,43,4,1.36,4.915,0.35,4
48051,7,6,6,50.2,159,84.4,43,4,1.8,5.195,1.4,4
48053,7,6,6,46.6,205,85.4,34,15,2.44,5.497,4.36,5
48055,7,2,2,51.3,159,84.9,43,4,0.31,3.418,0.51,4
48057,7,6,5,54.9,146,83.7,64,1,50.36,8.524,1.86,4
48059,7,6,6,43.7,162,83.9,43,9,0.29,3.377,0.33,4
48061,7,2,2,60.3,149,84.4,63,1,29.05,7.974,2.46,5
48063,7,6,6,43.5,163,82.3,50,4,2.8,5.635,0.71,4
48065,7,8,6,36,216,78.7,38,5,0.1,2.287,1.21,4
48067,7,6,6,43.5,163,82.3,50,4,2.39,5.476,0.63,4
48069,7,7,8,36.5,216,77.4,38,2,0.11,2.368,1.23,4
48071,7,1,1,53.9,146,83.2,64,1,31,8.039,1.57,4
48073,7,6,5,46.8,163,83,50,9,0.91,4.515,1.25,4
48075,7,7,8,39.7,200,83.2,37,5,0.46,3.825,1.02,4
48077,7,6,6,41.4,162,85.6,43,4,1.64,5.103,-0.36,3
48079,7,7,8,39.1,216,79.7,38,2,0.01,0.149,-0.12,3
48081,7,8,6,46.4,205,84.7,34,9,3.14,5.75,3.73,5
48083,7,6,6,46.5,200,83.5,37,4,0.67,4.207,2.14,4
48085,7,0,1,42.4,162,83,43,4,4.31,6.067,1.01,4
48087,7,9,9,39.1,200,82.9,37,5,0.07,1.94,0.01,3
48089,7,7,8,53,159,84,43,4,1.09,4.694,1.72,4
48091,7,1,1,51.3,159,84.9,43,15,2.29,5.433,3.25,5
48093,7,7,8,44.6,162,84.6,43,5,1.05,4.657,0.36,4
48095,7,8,6,47.4,205,83.2,34,5,0.22,3.111,2.3,4
48097,7,6,3,42,162,83.9,43,5,2.79,5.631,0.63,4
48099,7,2,2,47.9,162,85.5,43,10,0.47,3.849,1.01,4
48101,7,9,9,39.7,200,83.2,37,5,0.05,1.539,-0.19,3
48103,7,6,6,46.5,249,84.6,29,2,0,0,1.34,4
48105,7,7,8,46.5,205,84.6,34,15,0,0,1.64,4
48107,7,8,6,39,216,80,38,9,0.24,3.181,2.45,5
48109,7,7,8,44.5,249,80.5,29,12,0.01,0,3.62,5
48111,7,7,8,33.8,216,77.4,38,2,0.04,1.314,0.22,4
48113,7,0,1,45.4,162,85.7,43,4,3.19,5.765,0.64,4
48115,7,7,7,40.3,216,80.6,38,2,0.01,0,-0.24,3
48117,7,6,5,36.5,216,77.4,38,2,0.06,1.815,0.94,4
48119,7,8,4,41.5,162,83,43,4,0.28,3.322,-0.59,3
48121,7,0,1,44.8,162,84.1,43,4,7.23,6.583,1.4,4
48123,7,6,6,52.9,159,84.4,43,4,0.14,2.635,0.5,4
48125,7,9,9,42.1,200,84.3,37,5,0.11,2.402,0.38,4
48127,7,7,8,53.4,157,86.9,39,4,0.27,3.287,0.48,4
48129,7,9,9,39.1,200,82.9,37,5,0.35,3.56,0.86,4
48131,7,7,8,55.7,157,85.6,39,4,0.17,2.806,0.96,4
48133,7,7,8,44,162,83.1,43,4,0.63,4.146,0.24,4
48135,7,3,2,43.6,249,82.3,29,2,0.07,1.944,2.5,5
48137,7,9,9,45.6,205,80.7,34,19,0.01,0,3.15,5
48139,7,1,1,43.8,162,84.3,43,4,1.23,4.816,0.24,4
48141,7,2,2,43.6,249,82.3,29,12,0.16,2.795,4.46,5
48143,7,6,3,44,162,83.1,43,5,0.32,3.461,0.03,3
48145,7,6,6,47.1,162,84.6,43,4,0.61,4.111,0.34,4
48147,7,6,6,43.4,162,83.4,43,4,0.85,4.446,0.22,4
48149,7,7,8,50,159,84.5,43,4,1.02,4.625,1.04,4
48151,7,9,8,41.2,200,82.4,37,4,0.06,1.861,0.3,4
48153,7,7,8,38.3,216,78.9,38,5,0.03,1.001,0.86,4
48155,7,9,9,38.9,200,84.1,37,5,0.14,2.658,0.03,3
48157,7,0,1,52.2,146,83.6,64,1,1.25,4.828,-0.52,3
48159,7,9,8,43.5,163,82.3,50,4,3.09,5.735,0.76,4
48161,7,7,8,46.8,163,83,50,4,0.78,4.355,0.4,4
48163,7,7,8,53,157,85.2,39,4,0.11,2.408,0.4,4
48165,7,7,8,42.2,216,80.1,38,2,0.03,1.182,0.84,4
