Rowid,COUNTY FIP,MIN,MAX,RANGE,MEAN,STD
219,299,694.1699829,1292.410034,598.2400513,969.6370074,254.4550691
220,700,1195,1219.939941,24.93994141,1205.410556,8.527688543
221,455,1179.650024,1327.72998,148.0799561,1251.719904,34.30084264
222,389,264.9400024,393.1900024,128.25,310.1751588,19.31729792
223,239,1070.969971,1324.27002,253.3000488,1156.375583,64.17385799
224,417,664.2999878,738.7800293,74.4800415,694.5484996,17.35882135
225,241,1373.569946,2055.23999,681.6700439,1535.808617,160.1941122
226,405,1348.790039,1421.069946,72.27990723,1373.026232,15.84343854
227,467,1061.790039,1111.800049,50.01000977,1095.160661,11.71640718
228,337,841.5499878,952.7399902,111.1900024,906.7283837,27.97254245
229,293,935.2800293,1234.670044,299.3900146,1064.749507,97.78669616
230,323,505.0799866,585.3599854,80.27999878,534.8743457,19.52304368
231,395,928.6099854,1045.540039,116.9300537,984.9567504,26.52996128
232,590,1113.51001,1125.589966,12.07995605,1119.392857,4.615431359
233,820,1030.300049,1191.27002,160.9699707,1093.63501,59.79546445
234,271,523.6300049,1186.199951,662.5699463,735.64253,261.4332349
235,275,634.7999878,1360.449951,725.6499634,897.5957195,315.5864228
236,315,1171.069946,1300.579956,129.5100098,1220.527296,41.63635168
237,361,1510.280029,1560.609985,50.32995605,1528.758112,10.67480545
238,367,831.75,911.75,80,879.62448,22.20370312
239,377,240.1600037,469.730011,229.5700073,360.7830917,53.11581948
240,449,1173.410034,1249.099976,75.68994141,1203.81942,16.87837155
241,391,859.0800171,980.4199829,121.3399658,927.2122122,25.77873181
242,259,805.5700073,1274.880005,469.3099976,1028.515001,185.8539112
243,387,1183.47998,1294.75,111.2700195,1239.107578,25.98567953
244,393,528.2199707,613.960022,85.74005127,566.3217524,21.09578091
245,403,1351.650024,1415.359985,63.70996094,1381.710868,16.89182496
246,443,329.8399963,449.4299927,119.5899963,383.142438,32.34622119
247,471,1140.310059,1249.800049,109.4899902,1197.560376,28.60199731
248,251,885.1300049,1195.569946,310.4399414,1050.023466,121.2596506
249,451,477.6700134,649.5300293,171.8600159,579.5099539,34.04956901
250,349,961.8499756,1055.900024,94.05004883,1005.451226,25.64907405
