FIPS,AREA,Mean Annual Precipitation (in.)
36067,0.236111111,1056.304556
19193,0.236111111,753.0973506
38065,0.220486111,437.6822834
21075,0.055555556,1294.426243
19159,0.152777778,922.4611386
21083,0.138888889,1306.156502
16083,0.534722222,317.4651634
19175,0.114583333,899.5171241
47065,0.147569444,1402.741418
55087,0.203125,793.7120544
24023,0.180555556,1194.366923
17159,0.104166667,1109.275663
26005,0.225694444,969.2570777
37129,0.046875,1449.956683
20155,0.355902778,775.0918061
19041,0.1875,782.3736098
37159,0.125,1096.862913
20199,0.267361111,463.0853248
48085,0.222222222,1038.494842
48075,0.177083333,634.1394109
48143,0.274305556,841.3676557
20031,0.182291667,999.4025716
19073,0.1875,877.6420367
20207,0.133680556,1051.872728
19189,0.104166667,838.7511648
26057,0.1875,839.8975028
20111,0.223958333,950.179071
19195,0.095486111,863.9794545
20133,0.138888889,1106.932126
48123,0.222222222,890.9099202
21143,0.069444444,1249.509
37037,0.185763889,1175.887107
21165,0.057291667,1229.058179
26085,0.157986111,875.7074706
05045,0.171875,1260.83697
37027,0.125,1252.188059
05051,0.180555556,1382.741054
05053,0.152777778,1347.027833
36083,0.192708333,1103.759735
42121,0.175347222,1141.623171
48193,0.208333333,826.8659175
38067,0.366319444,525.570283
51520,0.005208333,1085.206665
31053,0.142361111,770.0952439
31027,0.204861111,707.8141531
29177,0.15625,1034.741109
37085,0.147569444,1160.313057
37105,0.071180556,1178.222192
55055,0.166666667,895.6832282
21181,0.048611111,1142.166783
27043,0.215277778,817.6548403
37153,0.123263889,1171.228586
21219,0.095486111,1286.799636
17051,0.211805556,1037.791476
17053,0.130208333,958.4666699
21233,0.086805556,1175.448401
48129,0.267361111,602.7407135
37057,0.144097222,1110.918676
46013,0.53125,550.4980058
45001,0.128472222,1143.699728
46125,0.152777778,666.8248846
46005,0.381944444,588.3095473
21033,0.086805556,1242.505198
46103,0.810763889,476.9178167
46039,0.190972222,659.2589089
45015,0.298611111,1231.185695
48019,0.185763889,831.4716808
42023,0.116319444,1118.121642
47063,0.050347222,1120.808619
45027,0.177083333,1195.136672
46087,0.171875,654.6532322
46073,0.15625,586.3687764
46099,0.244791667,675.9971647
17063,0.133680556,930.793117
49005,0.317708333,717.0271056
27079,0.151041667,786.2263205
51003,0.192708333,1139.841628
47135,0.105902778,1384.861316
47147,0.128472222,1262.771489
29009,0.222222222,1164.606882
51037,0.125,1123.817225
47179,0.090277778,1110.938085
55107,0.256944444,825.4378378
51013,0.006944444,1086.689972
45079,0.196180556,1139.583104
51065,0.079861111,1085.642172
51043,0.045138889,991.3826928
41067,0.220486111,1368.690001
27103,0.116319444,758.0180582
27107,0.260416667,602.9731999
27117,0.125,688.4745831
48055,0.128472222,882.8866206
51103,0.052083333,1146.457336
41031,0.508680556,537.8285328
29043,0.157986111,1161.371539
29057,0.133680556,1158.529874
42053,0.112847222,1156.606158
17017,0.107638889,980.1090354
20055,0.352430556,496.297585
20093,0.244791667,475.3024833
16051,0.303819444,249.0704565
13321,0.137152778,1238.097465
31091,0.21875,540.6206345
48111,0.40625,419.0362824
42069,0.125,1167.247919
42083,0.263888889,1161.758291
29125,0.126736111,1139.728624
47107,0.112847222,1365.580001
42093,0.032986111,1075.824206
39007,0.194444444,1069.368836
31087,0.180555556,533.1058664
29011,0.157986111,1156.020001
38017,0.522569444,570.0623256
34019,0.118055556,1251.823969
37171,0.145833333,1202.202621
51167,0.130208333,1159.097599
35021,0.560763889,417.528359
27151,0.208333333,673.4500829
55067,0.284722222,782.7248766
31157,0.236111111,390.0025749
35041,0.626736111,421.5239336
27097,0.34375,711.2143419
51630,0.003472222,1060.320007
38003,0.440972222,529.9199226
51660,0.003472222,922.8199768
20013,0.15625,877.3555542
56045,0.677083333,375.6522302
12115,0.145833333,1408.339408
17135,0.184027778,1014.782266
27017,0.25,767.3251398
27057,0.298611111,670.4090697
38101,0.651041667,437.9575998
27007,0.934027778,631.1455204
27001,0.600694444,722.3265596
26031,0.246527778,784.3672537
26035,0.166666667,824.37677
18001,0.09375,963.7488855
01021,0.190972222,1385.205366
05127,0.230902778,1365.668496
19029,0.171875,889.4516188
51840,0.001736111,974.6500244
20003,0.171875,1038.534137
39099,0.126736111,976.1431509
19039,0.114583333,932.0400002
18111,0.111111111,972.3174982
19055,0.152777778,935.2944322
05149,0.248263889,1309.652447
39109,0.105902778,1018.500982
48283,0.350694444,592.2330691
19069,0.152777778,883.494545
17113,0.335069444,961.2645087
48311,0.267361111,607.4150648
39119,0.173611111,1006.1651
39121,0.107638889,1023.843227
20193,0.277777778,508.5695623
19101,0.114583333,959.131516
08105,0.244791667,532.2299307
19125,0.171875,921.5257575
48381,0.255208333,509.0959174
19149,0.234375,726.4802956
13081,0.065972222,1181.490254
19129,0.111111111,864.9381237
48399,0.25,629.7361802
21227,0.151041667,1277.214144
13103,0.121527778,1212.079858
19185,0.152777778,970.6201151
48445,0.225694444,482.1494617
39155,0.1875,1009.531847
17035,0.09375,1056.995556
13153,0.102430556,1185.282541
48463,0.373263889,674.9634425
39025,0.126736111,1072.190142
48483,0.208333333,620.1588359
13231,0.059027778,1227.742345
39027,0.107638889,1051.558226
13117,0.072916667,1382.375474
13113,0.046875,1261.42518
